#;;;;;;;;;;;;;x;;;
WARSUBSIDIES_DI;Oferta de Subs. de Guerra;Offre d'indemnités de guerre;Angebot von Kriegssubventionen;;Oferta de subsidios de guerra;;;;;;;;x;;;
CANCEL_WARSUBSIDIES_DI;Cancel. de Subs. de guerra;Annulation des indemnités de guerre;Einstellung von Kriegssubventionen;;Cancelación de subsidios de guerra;;;;;;;;x;;;
ASKMILITARYACCESS_DI;Solicitação de Acesso Militar;Demande d'accès militaire;Anfrage nach Militärzugang;;Solicitud de acceso militar;;;;;;;;x;;;
CANCELASKMILITARYACCESS_DI;Cancelamento de Acesso Militar;Annulation d'un accès militaire;Einstellung von Militärzugang;;Cancelación de acceso militar;;;;;;;;x;;;
GIVEMILITARYACCESS_DI;Oferta de Acesso Militar;Offre d'accès militaire;Angebot von Militärzugang;;Oferta de acceso militar;;;;;;;;x;;;
CANCELGIVEMILITARYACCESS_DI;Cancelamento de Acesso Militar;Annulation d'un accès militaire;Einstellung von Militärzugang;;Cancelación de acceso militar;;;;;;;;x;;;
ALLIANCE_DI;Oferta de Aliança;Offre d'alliance;Bündnisangebot;;Oferta de alianza;;;;;;;;x;;;
CANCELALLIANCE_DI;Aliança Quebrada;Alliance rompue;Bündnis gebrochen;;Alianza disuelta;;;;;;;;x;;;
CALLALLY_DI;Chamar Aliado;Appel à un allié;Bündnisparter zu Hilfe rufen;;Conseguir aliado;;;;;;;;x;;;
DISCREDIT_DI;Desacreditar;Discréditer;In Verruf bringen;;Desprestigio;;;;;;;;x;;;
EXPELADVISORS_DI;Expulsão de Assessores;Expulsion de conseillers;Ausweisung von Beratern;;Expulsión de consejeros;;;;;;;;x;;;
BANEMBASSY_DI;Banimento da Embaixada;Fermeture d'ambassade;Botschaftsverbannung;;Cierre de embajada;;;;;;;;x;;;
INCREASEOPINION_DI;Aumento de opinião;Opinion en hausse;Meinungssteigerung;;Mejora de opinión;;;;;;;;x;;;
DECREASEOPINION_DI;Diminuição de Opinião;Opinion en baisse;Meinungsverringerung;;Merma de opinión;;;;;;;;x;;;
ADDTOSPHERE_DI;Adicionar à Esfera;Ajouter à la sphère;Zu Einflusssphäre hinzufügen;;Añadir a la esfera;;;;;;;;x;;;
REMOVEFROMSPHERE_DI;Remover da Esfera;Retirer de la sphère;Aus Einflusssphäre entfernen;;Eliminar de la esfera;;;;;;;;x;;;
INCREASERELATION_DI;Aumentar Relação;Améliorer les relations;Beziehung verbessern;;Mejorar relación;;;;;;;;x;;;
DECREASERELATION_DI;Diminuir a Relação;Détériorer les relations;Beziehung verschlechtern;;Empeorar relación;;;;;;;;x;;;
GUNBOAT_DI;Diplomacia da canhoneira;Diplomatie de la canonnière;Kanonenbootdiplomatie;;Diplomacia de las cañoneras;;;;;;;;x;;;
WAR_DI;Guerra;Guerre;Krieg;;Guerra;;;;;;;;x;;;
WARGOAL_DI;Adic. Objetivo de Guerra;Ajout d'un objectif de guerre;Hinzufügen von Kriegszielen;;Adición de objetivo bélico;;;;;;;;x;;;
PEACE_DI;Oferta de paz;Offre de paix;Friedensangebot;;Oferta de paz;;;;;;;;x;;;
TOPBAR_LEADERSHIP_MAX;Você já atingiu o armazenamento máximo de §Y$MAX$§W de liderança e nenhuma nova liderança será acumulada.\n;Vous avez atteint le nombre maximum de §Y$MAX$§W points de commandement et aucun nouveau point ne sera accumulé.\n;Sie haben bereits die maximale Anzahl von §Y$MAX$§W Anführerpunkten erreicht - Sie können keine weiteren aufsparen.\n;;Ya has alcanzado el nivel máximo de liderazgo, §Y$MAX$§W, y no se acumulará más.\n;;;;;;;;x;;;
IS_MOBILIZED_IRO;(Reservas estão mobilizadas);(Les réserves sont mobilisées);(Reserven sind mobilisiert);;(Las reservas están movilizadas);;;;;;;;x;;;
ADD_CRIME;Gain §Y$NAME$§W.\n;Obtention de §Y$NAME$§W.\n;Erhaltung von §Y$NAME$§W.\n;;Obtienes §Y$NAME$§W.\n;;;;;;;;x;;;
TOPBAR_WAR_PLUS;E seus satélites e domínios.\n;et leurs satellites et dominions.\n;und ihre puppetnstaaten und Dominions.\n;;Y sus satélites y dominios.\n;;;;;;;;x;;;
CANTBUILD_FORCEDISARM;Não podemos construir novas unidades militares, pois estamos sob um tratado de paz que nos obrigou a desarmar.;Le traité de paix qui nous a contraints à nous désarmer ne nous permet pas de construire de nouvelles unités.;Wir können keine neuen Militäreinheiten bauen, da uns ein Friedensvertrag zur Abrüstung zwingt.;;No podemos construir nuevas unidades militares, ya que estamos sometidos a un tratado de paz que nos obliga al desarme.;;;;;;;;x;;;
SOME_LIFE_NEEDS;Necessidades Vitais parcialmente cumpridas;Besoins vitaux partiellement satisfaits;Grundbedürfnisse teilweise;;Necesidades básicas parcialmente cubiertas;;;;;;;;x;;;
TOPBAR_AVG_CHANGE;Nós estimamos que isso irá mudar $VAL$§W durante o próximo mês.;Nous estimons que cela changera à hauteur de $VAL$§W au cours du mois prochain.;Wir vermuten eine Veränderung von $VAL$§W für den nächsten Monat.;;Calculamos que cambiará en $VAL$§W durante el próximo mes.;;;;;;;;;x;;
TECH_DAILY_RESEARCHPOINTS_BASE_TOOLTIP;Base diária de pontos de pesquisa: §Y$VALUE$§W;Points de recherche de base quotidiens : §Y$VALUE$§W;Tägliche Basis-Forschungspunkte: §Y$VALUE$§W;;Base diaria de puntos de investigación: §Y$VALUE$§W;;;;;;;;;x;;
TECH_DAILY_RESEARCHPOINTS_TOTAL_TOOLTIP;Pontos de pesquisa diários: §G+$VALUE$§W;Points de recherche quotidiens : §G+$VALUE$§W;Tägliche Forschungspunkte: §G+$VALUE$§W;;Puntos de investigación diarios: §G+$VALUE$§W;;;;;;;;;x;;
TECH_DAILY_RESEARCHPOINTS_TOOLTIP;$POPTYPE$ proporcionam §G$VALUE$§W de pontos de pesquisa.\n (§Y$FRACTION$%§W da população, $OPTIMAL$% é ótimo.);$POPTYPE$ donnent §G$VALUE$§W points de recherche.\n (§Y$FRACTION$%§W de la population, $OPTIMAL$% de manière optimale);$POPTYPE$ erbringen §G$VALUE$§W Forschungspunkte.\n (§Y$FRACTION$%§W von der Bevölkerung - $OPTIMAL$% ist optimal);;Los $POPTYPE$ proporcionan §G$VALUE$§W puntos de investigación.\n (§Y$FRACTION$%§W de la población, el valor óptimo es $OPTIMAL$%.);;;;;;;;x;;;
average_literacy;Alfabetização;Alphabétisation;Alphabetisierung;;Alfabetización;;;;;;;;x;;;
MODIFIER_RESEARCH_POINTS;Pontos de Pesquisa;Points de recherche;Forschungspunkte;;Puntos de investigación;;;;;;;;x;;;
gas;Ataque de gás;Attaque aux gaz;Gasangriff;;Ataque de gases;;;;;;;;x;;;
COMBAT_GAS;Ataques a gás, quando o oponente não tem a tecnologia apropriada para se defender contra eles, podem ser devastadores.;Les attaques aux gaz, lorsque l'adversaire ne dispose pas de la technologie pour s'en défendre, peuvent être dévastatrices.;Gasangriffe gegen Gegner, deren Technologie noch nicht zu deren Abwehr ausreicht, können verheerend ausfallen.;;Los ataques con gas, cuando el oponente carece de la tecnología apropiada para defenderse de ellos, pueden ser devastadores.;;;;;;;;x;;;
MAY_GAS_ATTACK;Pode usar o ataque de gás\n;Peut utiliser les attaques aux gaz\n;Kann Gasangriff einsetzen.\n;;Puede usar ataque de gases\n;;;;;;;;x;;;
MAY_GAS_DEFEND;Pode se defender contra o ataque do gás\n;Peut se défendre des attaques aux gaz\n;Kann sich gegen Gasangriff verteidigen.\n;;Puede defenderse de ataques de gases\n;;;;;;;;x;;;
IMMIGRANTS_FROM;Havia §G$VAL$§W imigrantes de $NAME$.;Il y avait §G$VAL$§W immigrants de $NAME$.;Es gab §G$VAL$§W Immigranten aus $NAME$.;;Había §G$VAL$§W inmigrantes procedentes de $NAME$.;;;;;;;;x;;;
EMIGRANTS_TO;§R$VAL$§W emigrou para $NAME$.;§R$VAL$§W ont émigré vers $NAME$.;§R$VAL$§W emigrierten nach $NAME$.;;§R$VAL$§W emigrados a $NAME$.;;;;;;;;x;;;
PW_ALL_FOCUSES_USED;Todos os focos nacionais já estão usados.;Toutes les causes nationales ont déjà été utilisées.;Alle nationalen Fokusse sind bereits eingesetzt.;;Ya están en uso todos los objetivos nacionales.;;;;;;;;x;;;
HAS_NO_FACTORIES;Não tem fábricas.\n;Ne dispose d'AUCUNE usine.\n;Hat KEINE Fabriken.\n;;NO tiene fábricas.\n;;;;;;;;x;;;
HAS_FACTORIES;Tem fábricas.\n;Dispose d'usines.\n;Hat Fabriken.\n;;Tiene fábricas.\n;;;;;;;;x;;;
RETREAT_DELAY_IRO;Ainda há §Y$VAL$§W dia(s) até que uma retirada voluntária possa ser feita.;Il reste §Y$VAL$§W jour(s) jusqu'à ce qu'une retraite volontaire puisse intervenir.;Ein freiwilliger Rückzug ist erst in §Y$VAL$§W Tag(en) möglich.;;Aún falta(n) §Y$VAL$§W día(s) hasta que se pueda realizar una retirada voluntaria.;;;;;;;;x;;;
PW_CANTCOLONIZE;Não é possível colonizar aqui ainda.;Impossible de coloniser ici pour le moment.;Kolonisierung hier noch nicht möglich.;;Aquí no se puede colonizar todavía.;;;;;;;;x;;;
IS_COLONIAL_STATE_POPVIEW;Estado Colonial;État colonial;Kolonialstaat;;Estado colonial;;;;;;;;x;;;
CULTURE_IS_NOT;A Cultura NÃO é;La culture n'est PAS;Kultur ist NICHT;;La cultura NO es;;;;;;;;x;;;
CULTURE_IS;A cultura é;La culture est;Kultur ist;;La cultura es;;;;;;;;x;;;
INVALID_WARTARGET_TROOPS_IN_THEM;Nós temos tropas dentro de suas fronteiras.;Nous avons des troupes à l'intérieur de leurs frontières.;Wir haben Truppen innerhalb ihrer Grenzen.;;Tenemos tropas dentro de sus fronteras.;;;;;;;;x;;;
WEX_EFFECTS;Efeitos atuais;Effets actuels;Aktuelle Effekte;;Efectos en curso;;;;;;;;x;;;
NOBODY_CAN_VOTE_HERE;Ninguém tem permissão para votar.;Personne n'est autorisé à voter.;Niemand darf wählen.;;Nadie puede votar.;;;;;;;;x;;;
NOT_ABLE_TO_REINFORCE;Esta pop. é pequena demais para reforçar essa brigada.;Ce POP est trop petit pour renforcer ce régiment.;Diese Bev ist zur Verstärkung dieser Brigade nun zu klein.;;Esta POB es demasiado pequeña para reforzar esta brigada.;;;;;;;;;x;;
POP_SIZE_UNITVIEW;Esta pop. tem §Y$VAL$§W pessoas e pode suportar §Y$ALLOWED$§W brigadas. Atualmente temos §Y$CURRENT$§W brigadas.;Ce POP dispose de §Y$VAL$§W personnes et peut soutenir §Y$ALLOWED$§W régiment(s). Il dispose actuellement de §Y$CURRENT$§W régiment(s).;Diese Bev besteht aus §Y$VAL$§W Menschen und kann §Y$ALLOWED$§W Brigaden unterstützen. Derzeit hat sie §Y$CURRENT$§W Brigaden.;;Esta POB cuenta con §Y$VAL$§W personas y puede mantener §Y$ALLOWED$§W brigadas. Actualmente tiene §Y$CURRENT$§W brigadas.;;;;;;;;;x;;
MAX_REINF_UNITVIEW;Reforçando a §G100%§W da velocidade.;Renfort à une vitesse de §G100%§W.;Verstärkung trifft mit §G100%§W Geschwindigkeit ein.;;Refuerzo a un §G100%§W de velocidad.;;;;;;;;;x;;
POP_IMPACT_UNITVIEW;Devido a perdas nas reservas, esta unidade se reforça em §Y$VAL$%§W da velocidade.;Compte tenu des pertes subies dans les réserves, cette unité se renforce à une vitesse de §Y$VAL$%§W.;Aufgrund von Verlusten bei den Reservetruppen wird diese Einheit mit §Y$VAL$%§W Geschwindigkeit verstärkt.;;Debido a las pérdidas de las reservas, esta unidad se refuerza a un §Y$VAL$%§W de velocidad.;;;;;;;;;x;;
MOB_IS_REINFORCE;Unidades mobilizadas se reforçam a §Y50%§W da velocidade.;Les unités mobilisées se renforcent à une vitesse de §Y50%§W.;Mobilisierte Einheiten werden mit §Y50%§W Geschwindigkeit verstärkt.;;Las unidades movilizadas se refuerzan a un §Y50%§W de velocidad.;;;;;;;;x;;;
EVTNAME60120;Federalismo crescente;Fédéralisme en hausse;Steigender Föderalismus;;Federalismo en auge;;;;;;;;;x;;
EVTDESC60120;Um sentimento de nacionalismo cultural está varrendo o $COUNTRY$, As pessoas começam a clamar por unificação com nossos irmãos culturais, $CULTURE_GROUP_UNION$. Temos poucas razões para duvidar que eles se oporiam a uma petição de anexação.;Un sentiment de nationalisme culturel déferle sur $COUNTRY$ et les gens commencent à appeler à l'unification avec nos frères culturels de $CULTURE_GROUP_UNION$. Nous avons peu de raison de douter qu'ils s'opposeront à une pétition d'annexion.;In der gesamten Bevölkerung von $COUNTRY$ macht sich kultureller Nationalismus breit. Das Volk schreit nach der Vereinigung mit unseren kulturellen Brüdern in $CULTURE_GROUP_UNION$. Wir haben kaum Zweifel daran, dass sie einer Anschlusspetition zustimmen würden.;;Un sentimiento de nacionalismo cultural está recorriendo $COUNTRY$. La gente empieza a demandar la unificación con nuestros parientes culturales del estado conocido como $CULTURE_GROUP_UNION$. No creemos que pudieran oponerse a una petición de anexión.;;;;;;;;;;;x
EVTOPTA60120;Vamos fazer isso;Allons-y;Machen wir;;Hagámoslo.;;;;;;;;;x;;
EVTNAME60130;Petições para Anexação de $FROMCOUNTRY$;$FROMCOUNTRY$ Pétitions d'annexion;$FROMCOUNTRY$s Anschlusspetition;;Peticiones de anexión desde $FROMCOUNTRY$;;;;;;;;;x;;
EVTDESC60130;Após um surto de sentimentos nacionalistas populares, o governo de $FROMCOUNTRY_ADJ$ fez um pedido formal com nossas autoridades em $CAPITAL$ para que eles possam se juntar a $COUNTRY$ em perpétua união. Parece haver pouca razão para se opor a esse movimento.;À la suite d'une montée de sentiments nationalistes, le gouvernement $FROMCOUNTRY_ADJ$ a formulé une demande officielle auprès de nos autorités de $CAPITAL$ pour les autoriser à rejoindre $COUNTRY$ dans le cadre d'une union perpétuelle. Il n'existe apparemment aucune raison de s'opposer à ce mouvement.;Nach einem Aufwogen nationalistischer Strömungen in der Bevölkerung hat die $FROMCOUNTRY_ADJ$e Regierung unseren Behörden in $CAPITAL$ einen formalen Antrag überreicht, sich $COUNTRY$ in einer in dauerhaften Union anschließen zu dürfen. Es bestehen wohl kaum Gründe, sich diesem Schritt zu verweigern.;;Atendiendo al auge de sentimientos nacionalistas en la población, el gobierno de $FROMCOUNTRY$ ha cursado una solicitud formal a nuestras autoridades en $CAPITAL$ que le permitiría unirse a $COUNTRY$ de forma permanente. No parece haber razón para oponerse a tal maniobra.;;;;;;;;;x;;
EVTOPTA60130;Vamos fazer isso;Allons-y;Machen wir;;Hagámoslo.;;;;;;;;;x;;
EVTOPTB60130;Não, por Deus, escória $FROMCOUNTRY_ADJ$;Dieu du ciel, pas cette racaille $FROMCOUNTRY_ADJ$;$FROMCOUNTRY_ADJ$er Abschaum!;;No, por Dios, escoria $FROMCOUNTRY_ADJ$ ;;;;;;;;;x;;
ATPEACE;Em Paz;En paix;Im Frieden;;En paz;;;;;;;;;x;;
NORMAL_WAR_RUDEBOI_NAME;$ORDER$$FIRST$ War of $SECOND$ Containment;$ORDER$$FIRST$ guerre de confinement $SECOND$;$ORDER$$FIRST$er Krieg zur $SECOND$en Beherrschung;;$ORDER$ Guerra $FIRST$ de contención $SECOND$;;;;;;;;;x;;
AGRESSION_WAR_RUDEBOI_NAME;$ORDER$$FIRST$ War of $SECOND$ Containment;$ORDER$$FIRST$ guerre de confinement $SECOND$;$ORDER$$FIRST$er Krieg zur $SECOND$en Beherrschung;;$ORDER$ Guerra $FIRST$ de contención $SECOND$;;;;;;;;;x;;
rude_boy;Contenção;Confinement;Beherrschung;;Contención;;;;;;;;;x;;
rude_boy_desc;Forçar outro §Ycountry§W, que renunciou a toda pretensão de conduta civilizada no campo dos assuntos internacionais, reduzindo drasticamente suas ambições.;Obligez un autre §Ypays§W, qui s'est débarrassé de tout faux-semblant de conduite civilisée au royaume des affaires internationales, à limiter considérablement ses ambitions.;Zwingen Sie ein anderes §YLand§W, das bezüglich internationaler Beziehungen sämtliche Vortäuschungen zivilisierten Benehmens über Bord geworfen hat, seine Ambitionen drastisch zu reduzieren.;;Obliga a otro §Ypaís§W, que ha renunciado a toda pretensión de conducta civilizada en el campo de los asuntos internacionales, a reducir de forma drástica sus ambiciones.;;;;;;;;;x;;
rude_boy_setup;Contenção de $RECIPIENT$ para redução do seu território, prestígio e exército.;Confinez $RECIPIENT$ en réduisant son territoire, son prestige et son armée.;Halten Sie $RECIPIENT$ in Schach, indem Sie ihr Territorium, Prestige und Militär reduzieren.;;Contención de $RECIPIENT$ por reducción de su territorio, su prestigio y su ejército.;;;;;;;;;x;;
rude_boy_short;Contenção de $RECIPIENT$;Contenir $RECIPIENT$;Halten Sie $RECIPIENT$ in Schach.;;Contención de $RECIPIENT$;;;;;;;;;x;;
POP_DETAILS_EXPENSES;Despesas:;Dépenses :;Ausgaben:;;Gastos:;;;;;;;;;x;;
CONFIRM_CREATE_VASSAL;Liberar Nação;Libérer une nation;Nation entlassen;;Liberar nación;;;;;;;;;x;;
CONFIRM_CREATE_VASSAL_DESC;Você quer liberar §Y$COUNTRY$§W como um §Y$TYPE$§W?\n §Y$COUNTRY$§W receberá o seguinte §Y$NUM$§W de província(s): §Y$PROVINCES$§W.;Souhaitez-vous libérer §Y$COUNTRY$§W en tant que §Y$TYPE$§W ?\n §Y$COUNTRY$§W recevra la(les) §Y$NUM$§W province(s) suivante(s) : §Y$PROVINCES$§W.;Möchten Sie §Y$COUNTRY$§W als §Y$TYPE$§W entlassen?\n §Y$COUNTRY$§W würde folgende §Y$NUM$§W Provinz(en) erhalten: §Y$PROVINCES$§W.;;¿Quieres liberar a §Y$COUNTRY$§W como §Y$TYPE$§W?\n §Y$COUNTRY$§W recibirá la(s) siguiente(s) §Y$NUM$§W provincia(s): §Y$PROVINCES$§W.;;;;;;;;;x;;
egyptian_excavations;Escavações Egípcias;Fouilles égyptiennes;Ägyptische Ausgrabungen;;Excavaciones egipcias;;;;;;;;;x;;
egyptian_excavations_desc;Nosso país está liderando escavações arqueológicas no Vale dos Reis.;Notre pays mène des fouilles archéologiques dans la vallée des rois.;Unser Land führt die archäologischen Ausgrabungen im Tal der Könige.;;Nuestro país está llevando a cabo excavaciones arqueológicas en el Valle de los Reyes.;;;;;;;;;x;;
POP_DETAILS_EXPENSES;Despesas:;Dépenses :;Ausgaben:;;Gastos:;;;;;;;;;x;;
red_shirts_title;Camisas Vermelhas;Camicie rosse;Camicie Rosse;;Camisas rojas;;;;;;;;;x;;
red_shirts_name;Camisas Vermelha de Garibaldi;Chemises rouges de Garibaldi;Garibaldis Rothemden;;Los Camisas rojas de Garibaldi;;;;;;;;;x;;
red_shirts_desc;Os Camisas Vermelhas (Camicie rosse) foram os voluntários que serviram sob o comando de Giuseppe Garibaldi em sua luta para forjar um Estado-nação a partir da grande fragmentação dos estados italianos. Seu nome era devido às blusas vermelhas que Garibaldi e seus homens haviam escolhido como roupas. O carismático Garibaldi, muito popular em casa e no exterior, e geralmente considerado um lutador pela liberdade, foi decisivo no fortalecimento da unificação italiana sob a coroa da Sardenha. Esses pan-nacionalistas italianos lutaram pela unificação da Itália.;Le nom de Chemises rouges (Camicie rosse, en italien) a été donné aux volontaires qui ont servi sous Giuseppe Garibaldi afin de créer un État-nation réunissant les nombreux États italiens. Ce nom vient des chemises rouges que portaient Garibaldi et ses hommes. Le charismatique Garibaldi, célèbre en Italie comme à l'étranger et perçu comme un défenseur de la liberté, a contribué à asseoir l'unification italienne sous la couronne sarde. Ces pan-nationalistes italiens luttent pour l'unification de l'Italie.;Die Rothemden (Camicie rosse) waren Freiwillige, die unter Giuseppe Garibaldi dienten, als dieser darum kämpfte, die vielen italienischen Splitterstaaten zu einem Nationalstaat zu vereinen. Ihren Namen bekamen sie durch die roten Hemden, die Garibaldi und seine Männer trugen. Der charismatische und national wie international beliebte Garibaldi, der im Allgemeinen als Freiheitskämpfer angesehen wird, war maßgeblich an der italienischen Vereinigung unter der sardinischen Krone beteiligt. Diese italienischen Pan-Nationalisten kämpfen für die Vereinigung Italiens.;;Los Camisas rojas (Camicie rosse) eran los voluntarios que sirvieron a las órdenes de Giuseppe Garibaldi en su lucha por forjar un estado nación a partir de la gran fragmentación de estados italianos. Su nombre se debía a los blusones rojos que Garibaldi y sus hombres habían escogido como vestimenta. El carismático Garibaldi, muy popular tanto en su país como en el extranjero, y considerado por lo general como un luchador por la libertad, fue decisivo a la hora de afianzar la unificación italiana bajo la corona de Cerdeña. Estos pan-nacionalistas italianos lucharon por la unificación de Italia.;;;;;;;;;x;;
red_shirts_army;Expedição das mil Camisas Vermelhas;Expédition des Chemises rouges des Mille;Rothemden-Expedition der Tausend;;Expedición de los mil Camisas rojas;;;;;;;;;x;;
EVTNAME11103;Expedição dos Mil!;Expédition des Mille;Expedition der Tausend!;;¡La expedición de los mil!;;;;;;;;;x;;
