KEYNAME;TEXT;;TEXT;;;;;;;;;;;x
news1;O governo de $TAG_2_0$ ofereceu a paz com os seguintes termos: $STRING_0_1$;;Die Regierung von $TAG_2_0$ bot unter folgenden Bedingungen Frieden an: $STRING_0_1$;;;;;;;;;;;x
battle_we_win_title_large;GLORIOSA VITÓRIA EM $STRING_0_3$!;;GLORREICHER SIEG IN $STRING_0_3$!;;;;;;;;;;;x
battle_we_win_large;On $DATE_LONG_0$ our unrivalled army was, once again, victorious in the battle of $STRING_0_3$! $VALUE_INT_0_1$ of our men bravely gave $VALUE_INT_0_3$ $TAG_0_3_ADJ$ troops a sound seeing to, and while $VALUE_INT_0_2$ of our fearless troops lost their lives, over $VALUE_INT_0_4$ $TAG_0_3_ADJ$ scoundrels were killed and the field was left in our hands. After a defeat like this, $TAG_0_3$ surely must soon seek peace terms!;;Am $DATE_LONG_0$ war unsere ungeschlagene Armee in der Schlacht von $STRING_0_3$ erneut siegreich! $VALUE_INT_0_1$ unserer tapferen Männer gaben $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen Saures und auch wenn $VALUE_INT_0_2$ unserer tapferen Mannen ihr Leben ließen, wurden mehr als $VALUE_INT_0_4$ $TAG_0_3_ADJ$ Schurken getötet. Nach einer solchen Niederlage, wird $TAG_0_3$ sicherlich um Frieden ersuchen!;;;;;;;;;;;x
battle_we_win_title_medium;Vitória em $STRING_0_3$!;;Sieg in $STRING_0_3$!;;;;;;;;;;;x
battle_we_win_medium;Em $DATE_LONG_0$ nós derrotamos $VALUE_INT_0_3$ tropas $TAG_0_3_ADJ$ em $STRING_0_3$, à custa de $VALUE_INT_0_2$ vidas perdidas.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$, zum Preis von $VALUE_INT_0_2$ Leben.;;;;;;;;;;;x
battle_we_win_title_small;Vitória!;;Sieg!;;;;;;;;;;;x
battle_we_win_small;Em $DATE_LONG_0$ nós derrotamos $VALUE_INT_0_3$ tropas $TAG_0_3_ADJ$ em $STRING_0_3$.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$.;;;;;;;;;;;x
battle_we_lose_title_large;A FALHA MILITAR CONDUZ O DESASTRE EM $STRING_0_3$!;;MILITÄRISCHER PATZER FÜHRT ZU DESASTER IN $STRING_0_3$!;;;;;;;;;;;x
battle_we_lose_large;Em $DATE_LONG_0$ nosso alto comando incompetente chocantemente enviou $VALUE_INT_0_4$ dos nossos bravos soldados para a morte em $STRING_0_3$ contra as forças de  $TAG_0_2$. Our $VALUE_INT_0_3$ fine troops faced $VALUE_INT1$ $TAG_0_2_ADJ$ soldiers, and despite poor leadership and the enemy's underhanded tactics managed to inflict $VALUE_INT_0_2$ casualties upon them. Este artigo expressa graves preocupações sobre a direção que o alto comando está tomando nesta guerra, e instou fortemente o governo a tomar medidas para corrigi-lo antes que seja tarde demais!;;Am $DATE_LONG_0$ sendete unser unfähiges Oberkommando schockierenderweise $VALUE_INT_0_4$ unserer tapferen Soldaten in $STRING_0_3$ gegen die Truppen von $TAG_0_2$ in den Tod. $VALUE_INT_0_3$ feine Soldaten stellten sich $VALUE_INT1$ $TAG_0_2_ADJ$ Mann und konnten trotz schlechter Führung und der Hinterlist des Gegners $VALUE_INT_0_2$ Opfer mit sich nehmen. Wir bringen unsere große Sorge über die Richtung des Oberkommandos in diesem Krieg zum Ausdruck und fordern die Regierung dazu auf, das Ruder herumzureißen, bevor es zu spät ist!;;;;;;;;;;;x
battle_we_lose_title_medium;Defeat in $STRING_0_3$;;Niederlage in $STRING_0_3$;;;;;;;;;;;x
battle_we_lose_medium;On $DATE_LONG_0$ we lost the battle of $STRING_0_3$, losing $VALUE_INT_0_4$ men and leaving $TAG_0_2$ in control of the field.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ Männer und die Kontrolle des Feldes an $TAG_0_2$.;;;;;;;;;;;x
battle_we_lose_title_small;Desastre em $STRING_0_3$;;Desaster in $STRING_0_3$;;;;;;;;;;;x
battle_we_lose_small;Em $DATE_LONG_0$ nós perdemos a batalha de $STRING_0_3$, perdendo $VALUE_INT_0_4$ homens e saindo de $TAG_0_2$ sem o controle do campo.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ Männer und die Kontrolle des Feldes an $TAG_0_2$.;;;;;;;;;;;x
gwar_we_win_large_title;$TAG_3_0_UPPER$ DESISTE!;;$TAG_3_0_UPPER$ GIBT AUF!;;;;;;;;;;;x
gwar_we_win_large_desc;On $DATE_LONG_1$ the Great War between $TAG_0_0$ and $TAG_1_0$ ended in our glorious victory. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end the result was $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der Große Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. Der Krieg, bekannt als $STRING_0_0$, wütete von $DATE_SHORT_0$ über $STRING_9_0$, an dessen Ende das Ergebis feststand: $STRINGS_LIST_4$.;;;;;;;;;;;x
gwar_we_win_medium_title;ARMISTÍCIO ASSINADO!\n VITÓRIA!;;WAFFENRUHE UNTERZEICHNET!\n SIEG!;;;;;;;;;;;x
gwar_we_win_medium_desc;Em $DATE_LONG_1$, a Grande Guerra entre $TAG_0_0$ e $TAG_1_0$ terminou com a nossa gloriosa vitória. A guerra, conhecida como $STRING_0_0$, durou de $DATE_SHORT_0$ até $STRING_9_0$.;;Am $DATE_LONG_1$ endete der Große Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. Der Krieg, bekannt als $STRING_0_0$, wütete von $DATE_SHORT_0$ über $STRING_9_0$.;;;;;;;;;;;x
gwar_we_win_small_title;Vitória sobre $TAG_3_0$!;;Sieg über $TAG_3_0$!;;;;;;;;;;;x
gwar_we_win_small_desc;$STRING_0_0$  terminou com a derrota de $TAG_3_0$.;;$STRING_0_0$ endete mit der Niederlage von $TAG_3_0$.;;;;;;;;;;;x
gwar_we_lose_large_title;UM DIA VERGONHOSO.\nPAZ COM $TAG_2_0_UPPER$ FOI ASSINADO!;;EIN TAG DER SCHANDE.\nFRIEDEN MIT $TAG_2_0_UPPER$ UNTERZEICHNET!;;;;;;;;;;;x
gwar_we_lose_large_desc;Em $DATE_LONG_1$, a grande guerra contra $TAG_2_0$ terminou na nossa derrota vergonhosa. A guerra, conhecida como $STRING_0_0$, durou de $DATE_SHORT_0$ a mais de $STRING_9_0$ e, no final, o resultado foi de $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der  Krieg gegen $TAG_2_0$ mit unserer schändlichen Niederlage. Der Krieg, $STRING_0_0$, wütete von $DATE_SHORT_0$ über $STRING_9_0$ und am Ende stand $STRINGS_LIST_4$.;;;;;;;;;;;x
gwar_we_lose_medium_title;PAZ COM $TAG_2_0_UPPER$!;;FRIEDEN MIT $TAG_2_0_UPPER$!;;;;;;;;;;;x
gwar_we_lose_medium_desc;Em $DATE_LONG_1$, a Grande Guerra entre $TAG_0_0$ e $TAG_1_0$ terminou na nossa derrota vergonhosa. A guerra, conhecida como $STRING_0_0$, durou de $DATE_SHORT_0$ sobre $STRING_9_0$.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem Sieg. Der Krieg, bekannt als $STRING_0_0$, wütete von $DATE_SHORT_0$ über $STRING_9_0$.;;;;;;;;;;;x
gwar_we_lose_small_title;Paz com $TAG_2_0$;;Frieden mit $TAG_2_0$;;;;;;;;;;;x
gwar_we_lose_small_desc;$STRING_0_0$ terminou com a nossa derrota nas mãos de $TAG_2_0$;;$STRING_0_0$ endete mit unserer Niederlage durch $TAG_2_0$;;;;;;;;;;;x
war_we_win_large_title;ARMISTÍCIO ASSINADO!\n $TAG_3_0_UPPER$ DESISTE;;WAFFENRUHE!\n $TAG_3_0_UPPER$ GIBT AUF;;;;;;;;;;;x
war_we_win_large_desc;Em $DATE_LONG_1$, a guerra entre $TAG_0_0$ e $TAG_1_0$ terminou com a nossa gloriosa vitória. A guerra, conhecida como $STRING_0_0$, durou de $DATE_SHORT_0$ a mais de $STRING_9_0$ e, no final, o resultado foi $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. $STRING_0_0$ wütete von $DATE_SHORT_0$ über $STRING_9_0$, das Ende war $STRINGS_LIST_4$.;;;;;;;;;;;x
war_we_win_medium_title;ARMISTÍCIO ASSINADO!\n VITÓRIA!;;WAFFENRUHE!\n SIEG!;;;;;;;;;;;x
war_we_win_medium_desc;Em $DATE_LONG_1$, a guerra entre $TAG_0_0$ e $TAG_1_0$ terminou com a nossa gloriosa vitória. A guerra, conhecida como $STRING_0_0$, durou de $DATE_SHORT_0$ até $ STRING_9_0 $.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem Sieg. $STRING_0_0$ ging von $DATE_SHORT_0$ über $STRING_9_0$ und am Ende stand $STRINGS_LIST_4$.;;;;;;;;;;;x
war_we_win_small_title;Vitória sobre $TAG_3_0$!;;Sieg gegen $TAG_3_0$!;;;;;;;;;;;x
war_we_win_small_desc;$STRING_0_0$ terminou com a derrota de $TAG_3_0$.;;$STRING_0_0$ endete mit der Niederlage von $TAG_3_0$.;;;;;;;;;;;x
war_we_lose_large_title;UM DIA VERGONHOSO.\NPAZ COM $TAG_2_0_UPPER$ ASSINADA!;;SCHANDE.\nFRIEDEN MIT $TAG_2_0_UPPER$ SPRUCHREIF!;;;;;;;;;;;x
war_we_lose_large_desc;Em $DATE_LONG_1$, a guerra contra $TAG_2_0$ terminou na nossa derrota vergonhosa. A guerra, conhecida como $STRING_0_0$, durou de $DATE_SHORT_0$ a mais de $STRING_9_0$ e, no final, o resultado foi $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der Krieg mit $TAG_2_0$ in schämlicher Niederlage. $STRING_0_0$ wütete seit $DATE_SHORT_0$ über $STRING_9_0$, das Ergebnis war $STRINGS_LIST_4$.;;;;;;;;;;;x
war_we_lose_medium_title;PAZ VERGONHOSA ASSINADA!;;FRIEDEN UNTERZEICHNET!;;;;;;;;;;;x
war_we_lose_medium_desc;Em $DATE_LONG_1$, a guerra entre $TAG_0_0$ e $TAG_1_0$ terminou na nossa derrota vergonhosa. A guerra, conhecida como $STRING_0_0$, durou de $DATE_SHORT_0$ até $STRING_9_0$ e, no final, $TAG_2_0$ foi o vencedor.;;Am $DATE_LONG_1$ endete der Große Krieg zwischen $TAG_0_0$ und $TAG_1_0$ siegreich für uns. Der als $STRING_0_0$ bekannte Krieg dauerte seit $DATE_SHORT_0$ über $STRING_9_0$ an und endete mit $TAG_2_0$ als Sieger.;;;;;;;;;;;x
war_we_lose_small_title;Paz com $TAG_2_0$;;Frieden mit $TAG_2_0$;;;;;;;;;;;x
war_we_lose_small_desc;$STRING_0_0$ terminou com nossa derrota nas mãos de $TAG_2_0$;;$STRING_0_0$ endete mit unserer Niederlage durch $TAG_2_0$;;;;;;;;;;;x
rebels_win_small_title;Revolução!;;Revolution!;;;;;;;;;;;x
rebels_win_small_desc;$STRING_0_0$ derrotou o $TAG_0_0$ e quebrou o país, o que os $STRING_0_3$ e $STRING_0_4$ farão agora?;;$STRING_0_0$ haben $TAG_0_0$ besiegt und das Land liegt in Trümmern, was wird $STRING_0_3$ $STRING_0_4$ nun tun?;;;;;;;;;;;x
KEYNAME;TEXT;;TEXT;;;;;;;;;;;x
some_fake_1836_title_1;Notícias do ópio!;;Neues vom Opium!;;;;;;;;;;;x
some_fake_1836_1;Mania do ópio assola a China, os comerciantes afirmam ser uma longa jornada, mas que vale a viagem.;;Opiumwelle in China, Händler sagen, die weite Reise lohnt sich.;;;;;;;;;;;x
some_fake_1836_title_2;Mania do Éter;;Äther-Wahnsinn;;;;;;;;;;;x
some_fake_1836_2;"Éter cada vez mais popular, os especialistas afirmam: ""É um gás!""";;Äther immer populärer, Experten behaupten: “Es ist ein Gas!”;;;;;;;;;;;x
some_fake_1836_title_3;Doces Sonhos;;Süße Träume;;;;;;;;;;;x
some_fake_1836_3;Primeiro uso de anestesia geral em uma operação, cirurgião nos EUA coloca o paciente para dormir para remoção do tumor.;;Erster Einsatz von Anästhesie bei Operation, Arzt in den USA läßt Patienten Tumor-Entfernung verschlafen.;;;;;;;;;;;x
some_fake_1836_title_4;Palavras em código;;Codewörter;;;;;;;;;;;x
some_fake_1836_4;Primeira mensagem telegráfica elétrica do mundo enviada nos EUA por Samuel Morse nos EUA.;;Erste elektr. telegrafische Nachricht der Welt von Samuel Morse in den USA gesendet.;;;;;;;;;;;x
some_fake_1836_title_5;Filatelistas se alegram!;;Philatelisten jauchzet!;;;;;;;;;;;x
some_fake_1836_5;"Selo postal introduzido no Reino Unido, conhecido como ""Penny Black"", apresenta uma imagem da jovem rainha, Victoria.";;"Neue Briefmarke ""Penny Black"", mit dem Antlitz der jungen Königin Victoria im Vereinigten Königreich im Umlauf.";;;;;;;;;;;x
some_fake_1836_title_6;Dead Souls;;Jetzt neu!;;;;;;;;;;;x
some_fake_1836_6;“Dead Souls”, lançado na Rússia, apresenta uma visão crítica e mordaz do sistema semi-feudal existente à época, com os servos vivendo em regime de escravidão.;;“Die Seelen der Toten” aus Russland, Kritiker: zu kompliziert.;;;;;;;;;;;x
some_fake_1836_title_7;Woodwind or Brass?;;Holzbläser oder Blech?;;;;;;;;;;;x
some_fake_1836_title_8;Corrida do ouro!;;Goldrausch!;;;;;;;;;;;x
some_fake_1836_8;O ouro foi descoberto na Califórnia, uma corrida enorme de garimpeiros invade a região!;;Gold in Kalifornien entdeckt, Goldsucher überrennen das Land!;;;;;;;;;;;x
some_fake_1836_title_9;"""O Corvo"" foi publicado";;“Der Rabe” veröffentlicht;;;;;;;;;;;x
some_fake_1836_9;Sombrio! O último conto de Poe com certeza te causará arrepios.;;Eine düstere Glanzleistung, Poes neueste Kurzgeschichte sorgt für Gänsehaut.;;;;;;;;;;;x
some_fake_1836_title_10;The bountiful female form;;Die üppige Form der Frau;;;;;;;;;;;x
some_fake_1836_10;(Conteúdo Explícito) Cinturas finas e quadris largos são a regra. Continua na página 5.;;(Explizite Inhalte) Weibliche Taillen und Hüftgrößen scheinbar so schmal und auch breit wie nie zuvor. Mehr auf Seite 5;;;;;;;;;;;x
some_fake_1836_title_11;Editorial;;Redaktionelles;;;;;;;;;;;x
some_fake_1836_11;Este liberalismo irá destruir a civilização ocidental. Sem um governo forte, as pessoas vão morrer de fome e voltar ao barbarismo para sobreviver e alimentar seus filhos. (ver pág. 10);;Liberalismus zerstört westliche Zivilisation (mehr auf Seite 10)…;;;;;;;;;;;x
some_fake_1850_title_1;Nossos ancestrais?;;Unsere Vorfahren?;;;;;;;;;;;x
some_fake_1850_1;"Cientistas surpreendidos pela descoberta de fósseis de ""Homem de Neandertal"" na Alemanha.";;Forscher begeistert in Deutschland entdecktem Neandertaler-Fossil.;;;;;;;;;;;x
some_fake_1850_title_2;Editorial:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1850_2;É a opinião assegurada deste jornal que a gordura animal é a substância perfeita para lubrificar cartuchos de balas. Veja como chegamos a essa conclusão inabalável. (veja a página 10);;Tierfette perfekt für das Einfetten von Patronenhülsen (siehe Seite 10)…;;;;;;;;;;;x
some_fake_1850_title_3;Canais em declínio;;Kanäle zerfallen;;;;;;;;;;;x
some_fake_1850_3;O outrora orgulhoso sistema de canais da nossa nação é visto em declínio abrupto. O que pode ser feito? Continua na página 4;;Einstmals stolzes Kanalsystem unserer Nation zerfällt rapide. Was kann man tun? Weiter auf Seite 4;;;;;;;;;;;x
some_fake_1860_title_1;Lincoln foi assassinado;;Anschlag auf Lincoln;;;;;;;;;;;x
some_fake_1860_1;Abraham Lincoln assassinado no teatro Ford por John Wilkes Booth, morto a tiros a curta distância.;;Abraham Lincoln in Ford's Theatre von John Wilkes Booth ermordet, Todesschuss aus kurzer Distanz.;;;;;;;;;;;x
some_fake_1860_title_2;Lincoln fine;;Lincoln wohlauf;;;;;;;;;;;x
some_fake_1860_2;Fracassada tentativa de assassinato de Abraham Lincoln por John Wilkes Booth, presidente atira assaltante da varanda do teatro Ford.;;Attentat auf Abraham Lincoln durch John Wilkes Booth fehlgeschlagen, Präsident stößt Attentäter vom Balkon im Ford's Theatre.;;;;;;;;;;;x
some_fake_1860_title_3;Unsporting;;Unsportlich;;;;;;;;;;;x
some_fake_1860_3;Military Submarine invented, globally agreed to be “unfair” and banned for all time.;;"Militärisches U-Boot erfunden, weltweit als “unfair"" eingestuft und für alle Zeiten verboten.";;;;;;;;;;;x
some_fake_1860_title_4;Serviços de Saúde;;Gesundheitswesen;;;;;;;;;;;x
some_fake_1860_4;Florence Nightingale fundou uma escola para enfermeiras no St Thomas Hospital, em Londres.;;Florence Nightingale gründet Schwesternschule am St Thomas' Hospital, London.;;;;;;;;;;;x
some_fake_1860_title_5;Tabela Periódica;;Elemente geordnet;;;;;;;;;;;x
some_fake_1860_5;Dmitri Mendeleev inventa a tabela periódica, listando todos os 56 elementos conhecidos.;;Dmitri Mendeleev erfindet Periodensystem, alle 56 Elemente aufgelistet.;;;;;;;;;;;x
some_fake_1860_title_6;A tendência das duas rodas está aumentando;;Rad-Trend nimmt zu;;;;;;;;;;;x
some_fake_1860_6;Mania de bicicleta contagia o mundo ocidental.;;Zweirad-Wahn erfasst westl. Welt, Stahlrösser sind ein Muss!;;;;;;;;;;;x
some_fake_1860_title_7;Sombrero width at an all-time high;;Sombreros breit wie nie;;;;;;;;;;;x
some_fake_1860_7;It is reported that the width of an average bandito’s sombrero has risen to an astounding 57 inches in Mexico.;;Laut Meldungen ist die durchschnittl. Sombrero-Breite von Banditen in Mexiko auf unglaubliche 56 Zoll angewachsen.;;;;;;;;;;;x
some_fake_1860_title_8;Brigada de Incêndio estabelecida;;Brandwache eingerichtet;;;;;;;;;;;x
some_fake_1860_8;Eles são novos, mas são bons.;;Neu und unglaublich gut.;;;;;;;;;;;x
some_fake_1860_title_9;Futebol cada vez mais popular;;Fußball immer beliebter;;;;;;;;;;;x
some_fake_1860_9;Os números de presença estão crescendo no futebol de clubes, e os espetáculos são especialmente populares entre os trabalhadores e os desempregados.;;Besucherzahlen im Vereins-Fußballsport wachsen, Spektakel besonders beliebt bei Arbeitern und Erwerbslosen.;;;;;;;;;;;x
some_fake_1860_title_10;Editorial:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1860_10;Cuidado! Mulheres montadas em bicicletas, saiotes esvoaçantes com a brisa, tornozelos expostos para todos verem, levarão os homens a um frenesi demente (pg. 10).;;Vorsicht vor weiblicher Rad-Amazone (mehr auf Seite 10);;;;;;;;;;;x
some_fake_1860_title_11;Pompéia e Herculano de volta à luz;;Pompeji und Herculaneum offengelegt;;;;;;;;;;;x
some_fake_1860_11;Novos métodos de escavação  trazem à luz as cidades destruídas pela erupção do  Vesúvio em 79 dC.;;Neue Ausgrabungsmethoden bringen die 79 AD vom Vesuv zerstörten Städte der Welt zurück.;;;;;;;;;;;x
some_fake_1870_title_1;Editorial:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1870_1;Os povos da África anseiam por nossa liderança benevolente (leia mais na página 10);;Rückständige Völker Afrikas ersehnen unsere gütige Führung (mehr auf Seite 10);;;;;;;;;;;x
some_fake_1870_title_2;Literatura:;;Literatur:;;;;;;;;;;;x
some_fake_1870_2;A Volta ao Mundo em 80 dias, revisado para o prazer e a educação do leitor.;;Um die Welt in 80 Tagen, für Lesespaß und Bildung unserer Leser rezensiert.;;;;;;;;;;;x
some_fake_1870_title_3;Corset-related fainting;;Ohnmacht durch Korsett;;;;;;;;;;;x
some_fake_1870_3;Em alta! Por causa do aperto causado pelos espartilhos, hospitais alcançam numeros recordes de atendimento.;;Rekordzahlen! Erneut werden die Bäder, Hospitäle und Chaiselongues von Opfern zu eng geschnürter Korsetts überrannt.;;;;;;;;;;;x
some_fake_1880_title_1;Sucesso no voo;;Erfolge der Luftfahrt!;;;;;;;;;;;x
some_fake_1880_1;Na France, um dirigível militar francês, torna-se o primeiro dirigível a fazer uma viagem de ida e volta com sucesso.;;"Franz. Militär-Luftschiff ""La France"" erstes Luftschiff mit Motorantrieb auf erfolgreicher Rundfahrt.";;;;;;;;;;;x
some_fake_1880_title_2;Arranha-céus;;Hochhäuser;;;;;;;;;;;x
some_fake_1880_2;“Arranha-céus” são construídos em toda América.;;“Sky-Scraper” in Amerika, massive stahl-ummantelte Hochhäuser überragen ihre Umgebung.;;;;;;;;;;;x
some_fake_1880_title_3;Canudo!;;Mint Julep gerettet!;;;;;;;;;;;x
some_fake_1880_3;Marvin C. Stone, nos EUA, inventa o “canudo”.;;Marvin C. Stone, USA, erfindet den “Strohhalm”.;;;;;;;;;;;x
some_fake_1880_title_4;Nada pode dar errado aqui;;Da kann nichts schiefgehen;;;;;;;;;;;x
some_fake_1880_4;Cura para o vício em morfina descoberto nos EUA: Vinho de coca!;;Heilung für Morphium-Sucht in USA entdeckt: Koka-Wein!;;;;;;;;;;;x
some_fake_1880_title_5;Bismarck renuncia;;Bismarck tritt zurück;;;;;;;;;;;x
some_fake_1880_5;Bismarck renuncia como chanceler da Alemanha.;;Bismarck tritt als Kanzler Deutschlands zurück, Schiff des Staates ohne Kapitän.;;;;;;;;;;;x
some_fake_1880_title_6;Editorial:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1880_6;O socialismo destruirá a civilização ocidental (mais na página 10);;Sozialismus wird westliche Zivilisation zerstören (mehr auf Seite 10);;;;;;;;;;;x
some_fake_1880_title_7;O governo americano deveria agir?;;Sollte die Regierung Amerikas handeln?;;;;;;;;;;;x
some_fake_1880_7;Linchamentos de membros da raça negra tornaram-se comuns em todo o coração da América. A pergunta que fica: O Estado deve intervir para impedir essa prática?;;Lynchmorde unter den Schwarzen nehmen in den mittleren Staaten Amerikas zu. Wir stellen die Frage: Sollte der Staat eingreifen und dem ein Ende setzen?;;;;;;;;;;;x
some_fake_1890_title_1;Decolar!;;Abheben!;;;;;;;;;;;x
some_fake_1890_1;O Ader Éole, um motor a vapor mais pesado que o ar, completa um vôo curto perto de Paris.;;Die Ader Eole, ein dampfgetriebenes Gefährt schwerer als Luft, absolviert kurzen Flug nahe Paris.;;;;;;;;;;;x
some_fake_1890_title_2;Voo bem sucedido!;;Erfolgreicher Flug!;;;;;;;;;;;x
some_fake_1890_2;O Derwitzer Glider se torna a primeira aeronave tripulada bem-sucedida do mundo, cobrindo distâncias de vôo de até cerca de 20 metros perto de Derwitz em Brandenburg.;;Derwitzer Glider wird erstes erfolgreiches, bemanntes Fluggerät der Welt und überwindet bis zu 80 Fuß Distanz bei Derwitz in Brandenburg.;;;;;;;;;;;x
some_fake_1890_title_3;Imagens em movimento!;;Bewegte Bilder!;;;;;;;;;;;x
some_fake_1890_3;O Cinetoscópio surpreende os espectadores exibindo imagens em movimento no Brooklyn Institute of Arts and Sciences.;;Kinetoskop beeindruckt Publikum im Brooklyn Insitute of Arts and Sciences mit bewegten Bildern.;;;;;;;;;;;x
some_fake_1890_title_4;Viva! São os gays dos anos 90;;Hurra! Hier sind die wilden 90er;;;;;;;;;;;x
some_fake_1890_4;"Como um movimento gay mais notável nos últimos tempos, o corpo editorial respeitosamente sugere que a frase ""os gays dos anos 90"" deve entrar no léxico de nosso discurso diário.";;Eine wildere Zeit als diese hat es noch nie gegeben und wird es wohl nie wieder geben. Wir schlagen daher vor, den Begriff “Die Wilden 90er” ins Lexikon aufzunehmen.;;;;;;;;;;;x
some_fake_1890_title_5;Poderia o homem um dia voar?;;Kann der Mensch eines Tages fliegen?;;;;;;;;;;;x
some_fake_1890_5;Em toda a nossa nação, os sonhadores estão especulando que o homem poderia um dia chegar ao céu usando mecanismos mecânicos.;;Landesweit hoffen Träumer, dass der Mensch eines Tages mithilfe mechanischer Geräte den Himmel erobern wird.;;;;;;;;;;;x
some_fake_1890_title_6;Editorial:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1890_6;Se Deus quisesse que voássemos, Ele nos daria asas, escreveu um leitor. (mais na página 10);;Wenn Gott wollte, das wir fliegen, hätte er uns Flügel gegeben (mehr auf Seite 10);;;;;;;;;;;x
some_fake_1890_title_7;Extremidade errada?;;Falsches Ende gibt Ton an;;;;;;;;;;;x
some_fake_1890_7;O renomado paleontólogo O.C Marsh revelou hoje que o famoso Elasmossauro montado pelo Professor Cope tem, de fato, sua cabeça presa ao final da cauda. O professor não estava presente para comentar.;;Angesehener Paläontologe O.C. Marsh enhüllt, dass der von Professor Cope zusammengesetzte Elasmosaurus seinen Kopf am Schwanz befestigt hat. Cope war nicht für einen Kommentar zu erreichen.;;;;;;;;;;;x
some_fake_1900_title_1;Mais leve que o ar;;Leichter als Luft;;;;;;;;;;;x
some_fake_1900_1;O primeiro voo do Zeppelin ocorre sobre o Lago Constance, perto de Friedrichshafen, na Alemanha.;;Der erste Zeppelinflug  über dem Bodensee in Deutschland, nahe Friedrichshafen.;;;;;;;;;;;x
some_fake_1900_title_2;Desastre!;;Desaster!;;;;;;;;;;;x
some_fake_1900_2;Um poderoso furacão atingiu Galveston, Texas, nos Estados Unidos, matando cerca de 8.000 pessoas.;;Zerstörerischer Orkan trifft Galveston, Texas, USA und tötet 8.000 Menschen.;;;;;;;;;;;x
some_fake_1900_title_3;Desastre!;;Desaster!;;;;;;;;;;;x
