KEYNAME;TEXT;;TEXT;;;;;;;;;;;x
some_fake_1900_3;Na Martinica, o Monte Pelée entrou em erupção, destruindo a cidade de Saint-Pierre e matando mais de 30.000 pessoas.;;Mount Pelée in Martinique ausgebrochen, Stadt Saint-Pierre vollständig zerstört, über 30.000 Tote.;;;;;;;;;;;x
some_fake_1900_title_4;Desastre!;;Desaster!;;;;;;;;;;;x
some_fake_1900_4;O Monte Vesúvio entrou em erupção, devastando Nápoles.;;Der Vesuv ist ausgebrochen, Neapel in Schutt und Asche.;;;;;;;;;;;x
some_fake_1900_title_6;Desastre!;;Desaster!;;;;;;;;;;;x
some_fake_1900_6;Um terremoto e um tsunami atingiram Messina e a Calábria, na Sicília, matando mais de 70 mil pessoas.;;Erdbeben und Tsunami treffen Messina unnd Kalabrien in Sizilien, mehr als 70.000 tot.;;;;;;;;;;;x
some_fake_1900_title_7;O capitão de Köpenick;;Der Hauptmann von Köpenick;;;;;;;;;;;x
some_fake_1900_7;Um impostor disfarçado de oficial militar alemão conseguiu enganar soldados em Berlim, suspeito de forjar uma contabilidade incorreta, e roubar mais de 4.000 marcos.;;Hochstapler gibt sich als deutscher Militäroffizier aus, trickst Soldaten in Berlin aus und stiehlt mehr als 4000 Mark wegen angeblich falscher Buchführung. Er gab eine Quittung.;;;;;;;;;;;x
some_fake_1910_title_1;Desastre!;;Desaster!;;;;;;;;;;;x
some_fake_1910_1;O RMS Titanic, o maior navio já construído, afundou depois de atingir um iceberg no Atlântico Norte durante sua viagem inaugural. Acredita-se que mais de 1.500 pessoas tenham perecido no desastre.;;RMS Titanic, größtes jemals gebautes Schiff, nach Zusammenstoß mit Eisberg auf ihrer Jungfernfahrt im Nord-Atlantik gesunken. Mehr als 1.500 Tote erwartet.;;;;;;;;;;;x
some_fake_1910_title_2;Desastre!;;Desaster!;;;;;;;;;;;x
some_fake_1910_2;Tempestade sobre o Mar do Norte coloca a Holanda sob a água, estima-se que 10 mil foram mortos.;;Sturm über der Nordsee setzt Holland unter Wasser, 10.000 Tote erwartet.;;;;;;;;;;;x
some_fake_1910_title_3;Descoberta!;;Entdeckung!;;;;;;;;;;;x
some_fake_1910_3;Hiram Bingham descobre Machu Pichu, uma cidade Inca desconhecida.;;Hiram Bingham entdeckt Machu Pichu wieder, eine vormals unbekannte Inka-Stadt.;;;;;;;;;;;x
some_fake_1910_title_4;Fumantes se alegram!;;Raucher frohlocket!;;;;;;;;;;;x
some_fake_1910_4;Zipper inventado por Gideon Sundback.;;Gideon Sundback erfindet Reißverschluss.;;;;;;;;;;;x
some_fake_1910_title_5;Café da manhã garantido;;Frühstück gesichert;;;;;;;;;;;x
some_fake_1910_5;Charles Strite inventa a torradeira.;;Charles Strite erfindet den Brotröster.;;;;;;;;;;;x
some_fake_1910_title_6;Deriva Continental;;Kontinentaldrift angenommen;;;;;;;;;;;x
some_fake_1910_6;Alfred Wegener, um proeminente cientista alemão, apresentou a teoria de que os próprios continentes sobre os quais nos encontramos podem estar se movendo na superfície da Terra.;;Bekannter deutscher Wissenschaftler Alfred Wegener entwickelt Theorie, dass die Kontinente, auf denen wir wandeln, auf der Erdoberfläche schwimmen könnten.;;;;;;;;;;;x
some_fake_1910_title_7;Relatividade geral;;Relativitätstheorie;;;;;;;;;;;x
some_fake_1910_7;Albert Einstein publicou sua teoria da relatividade geral, um conjunto confuso e complicado de fórmulas que procura explicar a relação entre espaço, tempo, gravidade e uma miríade de outras forças.;;Albert Einstein veröffentlicht Relativitätstheorie, eine verwirrende und komplexe Formelsammlung, die Zusammenhänge in Raum, Zeit, Schwerkraft und einer Vielzahl anderer Kräfte erklären soll.;;;;;;;;;;;x
some_fake_1910_title_8;Editorial:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1910_8;O feminismo destruirá a civilização ocidental (mais na página 10);;Der Feminismus wird westl. Zivilisation zerstören (mehr auf Seite 10);;;;;;;;;;;x
some_fake_1910_title_9;Palavras Cruzadas;;Kostenlose Beilage:;;;;;;;;;;;x
some_fake_1910_9;As 'palavras cruzadas', um agradável passatempo para que nossos leitores possam demonstrar sua engenhosidade.;;Ein 'Kreuzwort-Rätsel', ein netter Zeitvertreib, mit dem unsere Leser ihren Scharfsinn demonstrieren können.;;;;;;;;;;;x
some_fake_1910_title_10;Sherlock Holmes - O Fim?;;Kontroverse zum Ende von Sherlock Holmes;;;;;;;;;;;x
some_fake_1910_10;Depois de um enorme clamor dos fãs devido à morte agridoce do famoso detetive, Sir Arthur Conan Doyle, autor de Sherlock Holmes, decide trazê-lo de volta dos mortos, fornecendo esclarecimentos e um devido encerramento.;;Nach massivem Aufschrei der Fans zum bittersüßen Ende des berühmten Detektivs, entschließt sich Sir Arthur Conan Doyle ihn wiederzubeleben und verspricht Klarheit und Abschluss.;;;;;;;;;;;x
some_fake_1920_title_1;Registro de vôo;;Flugrekord;;;;;;;;;;;x
some_fake_1920_1;Charles Lindbergh se torna a primeira pessoa a voar sozinho pelo Oceano Atlântico (20 a 21 de maio de 1927), sem escalas, de Nova York a Paris.;;Charles Lindbergh überfliegt als erster Mann solo und nonstop den Atlantischen Ozean von New York nach Paris (20.-21. Mai 1927);;;;;;;;;;;x
some_fake_1920_title_2;Para as estrelas!;;Zu den Sternen!;;;;;;;;;;;x
some_fake_1920_2;O primeiro foguete do mundo com combustível líquido de Robert Goddard.;;Weltweit erster Raketenflug mit Flüssigtreibstoff von Robert Goddard.;;;;;;;;;;;x
some_fake_1920_title_3;Um fim às barbas?;;Das Ende der Bärte?;;;;;;;;;;;x
some_fake_1920_3;Primeiro barbeador elétrico patenteado pelo fabricante americano Col. Jacob Schick.;;Erster elektr. Rasierer vom amerikanischen Hersteller Col. Jacob Schick patentiert.;;;;;;;;;;;x
some_fake_1920_title_4;O futuro da música;;Zukunftsmusik;;;;;;;;;;;x
some_fake_1920_4;Automated Musical Instrument Company apresenta a primeira Jukebox com seleção musical.;;Erster Musikautomat mit Musikwahl von Automated Musical Instrument Company vorgestellt.;;;;;;;;;;;x
some_fake_1920_title_5;Nós não sabemos porque;;Wir wissen nicht warum;;;;;;;;;;;x
some_fake_1920_5;Pole sitting, prática de sentar em cima de um poste por longos períodos de tempo, assola o mundo ocidental.;;Pfahlsitzen-Marotte erobert westl. Welt.;;;;;;;;;;;x
some_fake_1920_title_6;Editorial:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1920_6;TVs vão destruir a civilização ocidental (mais na página 10);;Fernseher werden westliche Zivilisation vernichten (mehr auf Seite 10);;;;;;;;;;;x
some_fake_1920_title_7;Editorial:;;Redaktionelles:;;;;;;;;;;;x
some_fake_1920_7;O jazz destruirá a civilização ocidental (continua na página 10);;Jazz wird westl. Zivilisation vernichten (weiter auf Seite 10);;;;;;;;;;;x
some_fake_1920_title_8;A mania do jazz!;;Der Jazz-Wahn!;;;;;;;;;;;x
some_fake_1920_8;Uma nova moda despertou as paixões dos ouvintes de música do país: danças frenéticas, infertilidade e mistura racial são subprodutos dessa falsa forma musical.;;Musikliebhaber von neuer Marotte erfasst: Frenetische Tänze, Zuchtlosigkeit und Rassenvermischung sind Nebenprodukte dieser falschen Musikform.;;;;;;;;;;;x
some_fake_1920_title_9;Resumo literário: Ulisses;;Literatur-Übersicht: Ulysees;;;;;;;;;;;x
some_fake_1920_9;O irlandês James Joyce descreve em Ulysees um dia na vida de um protagonista em Dublin e suas adversidades (leia mais na página 19);;Bekannter Ire James Joyce beschreibt in Ulysees einen Tag im Leben eines Protagonisten in Dublin und seinen Widrigkeiten (mehr auf Seite 19);;;;;;;;;;;x
some_fake_1920_title_10;Para o Egito!;;Auf nach Ägypten!;;;;;;;;;;;x
some_fake_1920_10;Mais descobertas arqueológicas surpreendentes ocorreram hoje na região do Nilo, ampliando ainda mais o fascínio internacional por todas as coisas orientais... (continuação na página 2);;Weitere erstaunliche, archäologische Entdeckungen in der Nil-Region befeuern Faszination mit dem Orientalischen … (weiter auf Seite 2);;;;;;;;;;;x
some_fake_1920_title_11;Arquitetura Bauhaus;;Bauhaus-Architektur;;;;;;;;;;;x
some_fake_1920_11;Um novo estilo arquitetônico futurista, conhecido como Bauhaus, ganhou destaque nas cidades de Weimar, Berlim e Dessau.;;Futuristischer, neuer Kunst-Architekturstil, bekannt als Bauhaus, erobert die Städte Weimar, Berlin und Dessau.;;;;;;;;;;;x
some_fake_1920_title_12;Dupla do caos;;Verrücktes Duo erzeugt Chaos;;;;;;;;;;;x
some_fake_1920_12;Dois homens, um gordo e outro magro, compareceram ao tribunal acusados de fraude e bufonaria geral. Devido à gravidade do crime, que envolveu a demolição de uma casa e o roubo de um asno, espera-se que os promotores busquem a pena de morte.;;Zwei Männer, einer dick, einer dünn, stehen wegen groben Unfugs und grober Clownerei vor Gericht. Aufgrund der Schwere der Vorwürfe, die die Zerstörung eines Hauses und Diebstahl umfassen, wird die Forderung der Todesstrafe durch Ankläger erwartet.;;;;;;;;;;;x
some_fake_ANY_title_1;Cão morde uma criança.;;Hund beißt Kind.;;;;;;;;;;;x
some_fake_ANY_1;Ataque animal raivoso deixa a comunidade em estado de choque, os pais preocupados com a segurança de seus filhos exigem uma resposta.;;Brutale Tierattacken schockieren Gemeinde, Eltern fürchten um die Sicherheit ihrer Kinder und fordern Taten.;;;;;;;;;;;x
some_fake_ANY_title_2;Resfriamento global.;;Globale Abkühlung.;;;;;;;;;;;x
some_fake_ANY_2;Cientistas alertam que outra Era do Gelo pode estar começando, já que as temperaturas registradas caem de ano para ano.;;Forscher warnen vor neuer Eiszeit, da Temperaturen jährlich fallen.;;;;;;;;;;;x
some_fake_ANY_title_3;Criança desaparecida encontrada;;Vermisstes Kind gefunden;;;;;;;;;;;x
some_fake_ANY_3;Ela estava escondida em um celeiro! O caso da criança desaparecida foi resolvido após uma extensa busca realizada por voluntários locais que descobriram que a criança estava se escondendo num prédio abandonado próximo.;;Versteckt in einer Scheune! Der Fall eines vermissten Kindes fand gutes Ende, nachdem engagierte Suchmannschaften es in einem nahen, verlassenen Gebäude fanden.;;;;;;;;;;;x
some_fake_ANY_title_5;Donzela assassinada brutalmente;;Maid brutal ermordet;;;;;;;;;;;x
some_fake_ANY_5;O cadáver de uma donzela horrivelmente mutilado foi descoberto ontem amarrado a uma pista de trem. O público é aconselhado a procurar um homem com um grande bigode, uma cartola e um manto negro de ópera.;;Entsetzlich entstellter Körper einer jungen Maid wurde gestern, an Eisenbahnschienen gefesselt, gefunden. Fahndung nach Mann mit Schnauzbart, Zylinder und schwarzem Umhang läuft.;;;;;;;;;;;x
some_fake_ANY_title_6;Coelho emerge do chapéu;;Der Hase aus dem Hut;;;;;;;;;;;x
some_fake_ANY_6;Um homem, que alegou possuir poderes místicos, foi visto retirando um coelho de uma cartola ontem. Ele está atualmente sendo investigado por suspeita de práticas não naturais.;;Ein Mann mit angeblich mystischen Kräften wurde gestern gesehen, als er einen Hasen aus dem Hut zauberte. Untersuchungen mit Verdacht auf unnatürliche Praktiken im Gange.;;;;;;;;;;;x
some_fake_ANY_title_7;Um vislumbre do ano 2000;;Ein Blick in das Jahr 2000;;;;;;;;;;;x
some_fake_ANY_7;"Um futurologista bem conhecido dá uma visão sobre o distante ano 2000 AD. Ele diz: ""No ano 2000, todos os cavalheiros terão pelo menos 5 balões de ar quente"".";;Ein bekannter Zukunftsforscher gibt Einblick in das ferne Jahr 2000 A.D. Er sagt: “Im Jahr 2000 besitzt jeder Gentleman wenigstens 5 Heißluftballons”.;;;;;;;;;;;x
some_fake_ANY_title_8;News counterfeiting!;;Gefälschte Nachrichten!;;;;;;;;;;;x
some_fake_ANY_8;Um irlandês, um polonês e um prussiano foram presos ontem como parte de uma investigação em andamento sobre uma Organização Secreta, suspeitos de criar notícias falsas e vender como fatos.;;Festnahmen gegen einen Iren, Polen und Preußen im Rahmen der Untersuchung einer Schattenorganisation, die der Erstellung falscher Nachrichten und deren Verkauf als Fakten verdächtigt werden.;;;;;;;;;;;x
some_fake_ANY_title_9;12 mortos!;;12 aufgespießt!;;;;;;;;;;;x
some_fake_ANY_9;Touro furioso matou 5 homens e 7 mulheres ontem. ;;Wütender Bulle tötete gestern 5 Männer und 7 Frauen. Das vormals als sanft bekannte Tier wurde von einem vorbeikommendem Schornsteinfeger enthauptet.;;;;;;;;;;;x
some_fake_ANY_title_10;Ponte desmoronou!;;Brücke eingestürzt!;;;;;;;;;;;x
some_fake_ANY_10;Um açougueiro morreu fora da nossa capital. O açougueiro localmente conhecido deixa para trás seu irmão e um filho.;;Ein Metzger wurde außerhalb unserer Hauptstadt in den Tod gerissen. Der lokal bekannte Metzger hinterlässt seinen Bruder, einen Bäcker und einen Sohn, der Kerzenhalter herstellt und verkauft.;;;;;;;;;;;x
some_fake_ANY_title_11;Balcãs em paz;;Ruhe im Balkan;;;;;;;;;;;x
some_fake_ANY_11;Sérvios, croatas, bósnios, turcos, búlgaros, romenos, albaneses e gregos se reuniram no domingo passado para celebrar a grande paz em que a península balcânica se banha atualmente.;;Serben, Kroaten, Bosnier, Türken, Bulgaren, Rumänen, Albaner und Griechen feierten letzten Sonntag den großen Frieden, der zur Zeit im Balkan herrscht.;;;;;;;;;;;x
some_fake_ANY_title_12;Carta para o editor;;Brief an den Herausgeber;;;;;;;;;;;x
some_fake_ANY_12;Um leitor chama a atenção para os pilotos de balsa descuidados que colocam vidas de passageiros em risco com suas imprudentes manobras de velocidade e arriscadas.;;Ein Leser warnt vor leichtsinnigen Fährenkapitänen, die mit rücksichtsloser Geschwindigkeit und riskanten Manövern das Leben ihrer Passagiere riskieren.;;;;;;;;;;;x
some_fake_ANY_title_13;O clima;;Das Wetter;;;;;;;;;;;x
some_fake_ANY_13;Probabilidades para a próxima semana: Nublado e chuvoso, com ventos norte e nordeste e temperaturas baixas.;;Aussichten für nächste Woche: Wolkig und Regen, mit Winden aus Nord und Nordost und niedrigen Temperaturen.;;;;;;;;;;;x
some_fake_ANY_title_14;Tragic city fire;;Tragisches Feuer in Stadt;;;;;;;;;;;x
some_fake_ANY_14;O Departamento de Bombeiros foi responsabilizado demonstrar falta de disciplina e eficiência, permitindo que o fogo se espalhasse por vários quarteirões, levando ao maior e mais trágico incêndio na cidade até o momento.;;Feuerwache wegen fehlender Disziplin und Effizienz für das Ausbreiten eines Feuers über mehrere Häuser verantwortlich gemacht, das zum größten Brand aller Zeiten in der Stadt führte.;;;;;;;;;;;x
some_fake_ANY_title_15;Assalto a Banco local!;;Angel-Raub;;;;;;;;;;;x
some_fake_ANY_15;A polícia relata o roubo de uma quantia considerável de dinheiro em um banco local. O suspeito usou um anzol de pesca, enquanto o cúmplice distraia o caixa.;;Die Polizei berichtet vom Raub eines beachtlichen Geldbetrags in lokaler Bank unter Verwendung eines Angelhakens und Stockes, während Komplize den Kassenbeamten ablenkte.;;;;;;;;;;x;
some_fake_ANY_title_16;Deixe-os pular!;;Lasst sie springen!;;;;;;;;;;;x
some_fake_ANY_16;Se as crianças precisam ficar quietas, é uma tortura para elas, afirmam os cientistas. O movimento rápido do corpo, sendo a expressão correta da alegria em idade muito jovem, deve ser encorajado e não desaprovado.;;Forscher bezeichnen das Stillsitzen müssen von Kindern Folter. Ausdauernde Bewegung ist wichtig zum Ausdruck von Freude für kleine Kinder und sollte nicht unterdrückt werden.;;;;;;;;;;;x
some_fake_ANY_title_17;Madeira para pavimentação?;;Hölzerne Bürgersteige;;;;;;;;;;;x
some_fake_ANY_17;Novas pesquisas revelam processos químicos para o endurecimento da madeira na construção. A cidade deve pavimentar estradas com madeira?;;Neue Untersuchung enthüllt chemische Prozesse zur Härtung von Holz im Bauwesen. Sollte die Stadt Straßen mit Holz pflastern?;;;;;;;;;;;x
some_fake_ANY_title_18;A vida sem comida?;;Leben ohne Nahrung?;;;;;;;;;;;x
some_fake_ANY_18;Um homem alegando que pode se abster de comida por pelo menos 30 dias e manter a aptidão física e mental completa desafia os médicos a submeter suas habilidades a um teste.;;Ein Mann behauptet, 30 Tage ohne Nahrung bei voller körperlicher und geistiger Stärke überleben zu können, und fordert Forscher heraus, ihn zu testen.;;;;;;;;;;;x
some_fake_ANY_title_19;Febre mortal;;Fatales Fieber;;;;;;;;;;;x
some_fake_ANY_19;Dois marinheiros retornando dos trópicos morreram de uma febre desconhecida. Os sintomas variam de calafrios a extrema sede e delírios.;;Zwei aus den Tropen heimkehrende Seefahrer sind an einem unbekannten Fieber gestorben. Die Symptome reichen von Schüttelfrost über extremen Durst bis hin zu Wahnvorstellungen.;;;;;;;;;;;x
some_fake_ANY_title_20;Diamantes artificiais;;Künstliche Diamanten;;;;;;;;;;;x
some_fake_ANY_20;Químico europeu afirma ter revestido um cristal normal usando um processo conhecido apenas por ele, o que o torna um diamante em todos os seus aspectos.;;Europäischer Chemiker behauptet, mit einem nur ihm bekannten Prozess einen normalen Kristall mit Material ummantelt zu haben, der ihn in allen Aspekten zum Diamanten macht.;;;;;;;;;;;x
some_fake_ANY_title_22;Carta de Deus;;Brief von Gott;;;;;;;;;;;x
some_fake_ANY_22;"Um dos membros pobres da nossa sociedade recebendo uma carta de caridade marcada como ""de Deus"" respondeu dando graças pelo dinheiro recebido, mas adverte a divindade contra a imposição de impostos e roubo de correios.";;Ein armes Mitglied unserer Gesellschaft dankt dem Sender eines Almosenbriefes “von Gott” für erhaltenes Geld, warnt Sender jedoch vor Steuerforderungen und Briefraub.;;;;;;;;;;;x
some_fake_ANY_title_23;Notícias médicas;;Medizin-Neuheiten;;;;;;;;;;;x
some_fake_ANY_23;Os principais médicos europeus suspeitam que a fumaça das fábricas é a causa do aumento da insuficiência respiratória em crianças.;;Führende europäische Ärzte verdächtigen Rauch aus Fabrikschloten als Ursache für Zunahme von Atemstörungen unter Kindern.;;;;;;;;;;;x
some_fake_ANY_title_24;Histeria vampira;;Vampir-Hysterie;;;;;;;;;;;x
some_fake_ANY_24;Um novo caso de vampiro na Romênia. Transeuntes supersticiosos esfregam os ombros com alho para proteção contra ataques.;;Ein neuer Fall von Vampir-Hysterie in Rumänien. Abergläubische Passanten schmieren Nacken mit Knoblauch ein, zum Schutz vor bösartigen Ghulen.;;;;;;;;;;;x
some_fake_ANY_title_25;Lobos matam quatro;;Wölfe töten vier;;;;;;;;;;;x
some_fake_ANY_25;Um bando de lobos invadiu uma cidade na Sibéria na semana passada e matou quatro dos habitantes. Policiais armados foram despachados para a área para caçar os animais lupinos.;;Ein Wolfsrudel überfiel letzte Woche ein Dorf in Sibirien und tötete vier Einwohner. Bewaffnete Polizeikräfte jagen die Bestien.;;;;;;;;;;;x
some_fake_ANY_title_26;Fantoches horríveis;;Schreckliche Puppen;;;;;;;;;;;x
some_fake_ANY_26;Bonecos terríveis encontram mais aceitação. Anormalidade mais recente é um menino de madeira sorridente e debil no estilo bimbo.;;Schreckliche Puppen finden mehr Akzeptanz. Neueste Abartigkeit ist ein debil grinsender Holzjunge im Bimbo-Stil.;;;;;;;;;;;x
some_fake_ANY_title_27;Concurso de beber;;Trinkwettbewerb;;;;;;;;;;;x
some_fake_ANY_27;"O irlandês Bill Whelan derrotou rivais da Rússia e da Escócia em um concurso de consumo de álcool em Nova York na semana passada. De sua cama de hospital, ele atribuiu sua vitória ao ""puro amor a bebida"".";;Der Ire Bill Whelan schlägt in New York Rivalen aus Russland und Schottland in einem Alkohol-Trinkwettbewerb. Den Sieg schrieb er vom Krankenbett aus der “Liebe zum Fusel” zu.;;;;;;;;;;;x
some_fake_ANY_title_28;Homem mais velho;;Ältester Mann;;;;;;;;;;;x
some_fake_ANY_28;O respeitado cavalheiro Jimmy Williams foi nomeado o homem vivo mais antigo. Williams, do sul da América, educadamente pediu aos nossos repórteres que deixassem seu país.;;Der respektierte Gentleman Jimmy Williams wurde zum ältesten lebenden Mann ernannt. Williams, aus dem tiefsten Süden Amerikas, bat unsere Reporter höflich, sein Land zu verlassen.;;;;;;;;;;;x
some_fake_ANY_title_29;ASSALTO A BANCO!;;BANKRAUB!;;;;;;;;;;;x
some_fake_ANY_29;Um banco local em $ANYPROVINCE$ foi invadido por uma gangue mascarada de gente mal-intencionada. A polícia está procurando os criminosos e está concedendo uma recompensa por qualquer informação que leve à sua captura.;;Lokale Bank in $ANYPROVINCE$ von maskierter Gang überfallen. Die Fahndung nach den Kriminellen läuft, eine Belohnung für Informationen, die zur Ergreifung führen, wurde ausgesprochen.;;;;;;;;;;;x
some_fake_ANY_title_30;O Gato do Piano;;Klavierkatze auf Tour;;;;;;;;;;;x
some_fake_ANY_30;O famoso pianista conhecido simplesmente como o Gato do Piano está programado para chegar em $OURCAPITAL$ esta semana. O artista é esperado para tocar uma série de peças clássicas.;;Die als Klavierkatze berühmte Katzenpianistin wird diese Woche in $OURCAPITAL$ ankommen. Sie soll eine Reihe klassischer Stücke spielen.;;;;;;;;;;;x
some_fake_ANY_title_31;Palestras Especiais;;Spezial-Vorlesungen;;;;;;;;;;;x
some_fake_ANY_31;O Conselho de Ciência de $OURCAPITAL$ deve apresentar uma série de palestras especiais sobre as origens da civilização no Crescente Fértil. Apresentações especiais de cacos de cerâmica de Tiro estão planejadas.;;Der Wissenschaftsrat von $OURCAPITAL$ wird eine Reihe von Spezial-Vorlesungen zu den Ursprüngen der Zivilisation im Fruchtbaren Halbmond halten. Eine Präsentiation von Tonscherben aus Tyros ist eingeplant.;;;;;;;;;;;x
some_fake_ANY_title_32;GUARDA! GUARDA!;;ACHTUNG! ACHTUNG!;;;;;;;;;;;x
some_fake_ANY_32;Uma tempestade de proporções gigantescas está chegando. As instruções dos oficiais de segurança pública são: Não varra nenhuma chaminé durante a tempestade. Acidentes podem ocorrer se este aviso não for atendido.;;Ein Sturm von gigantischem Ausmaß wird erwartet. Offizielle der öffentlichen Sicherheit raten: Reinigt keine Kamine während des Sturms, andernfalls drohen Unfälle.;;;;;;;;;;;x
some_fake_ANY_title_34;Protecionista em pauta;;Handels-Gipfeltreffen;;;;;;;;;;;x
some_fake_ANY_34;As atuais tarifas européias e internacionais, assim como as práticas protecionistas, serão discutidas na próxima quinta-feira em $OURCAPITAL$.;;Aktuelle europäische und internationale Zölle und Schutzmaßnahmen werden nächsten Donnerstag in $OURCAPITAL$ diskutiert.;;;;;;;;;;;x
some_fake_ANY_title_35;Convenção Postal;;Tagung der Post;;;;;;;;;;;x
some_fake_ANY_35;Hoje, $ OURCOUNTRY_ADJ $ e autoridades estrangeiras estão reunidas para discutir taxas de postagem para todas as cartas enviadas para o exterior.;;$OURCOUNTRY_ADJ$ und ausländische Offizielle diskutieren heute Postgebühren für Überseebriefe.;;;;;;;;;;;x
some_fake_ANY_title_36;Comércio de carvão moderno;;Moderner Kohlehandel;;;;;;;;;;;x
some_fake_ANY_36;O livre comércio de carvão para locomotivas ferroviárias e eventualmente navios marítimos no mundo ocidental está sendo discutido hoje na Câmara de Comércio local.;;Die Handelskammer diskutiert heute über den freien Kohlehandel für Lokomotiven und Schifffahrt in der westlichen Welt.;;;;;;;;;;;x
some_fake_ANY_title_37;Improvável para se tornar cardeal;;Wird wohl nicht Kardinal;;;;;;;;;;;x
