AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$ TEME NOSSO PODER!;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;;;;;;;x;;;
AI_FEARS_US_DESC1_LONG;Relatos de rumores vêm do nosso correspondente em $TAG_0_0$. Uma fonte anônima confirma que houve várias reuniões com altos oficiais militares em sua capital nos últimos meses. O tema principal desses encontros foi um cenário fictício da declaração de guerra e uma invasão por parte de nossos militares. Possíveis contra-ataques e até lutas de guerrilha foram discutidos. Aparentemente, o alto comando do exército $TAG_0_0_ADJ$ está se preparando para o pior. Parece que somos temidos por eles!;;Gerüchte erreichen unseren Korrespondenten in $TAG_0_0$. Eine anonyme Quelle bestätigt, dass in den letzten Monaten mehrere Treffen mit hochrangigen Militäroffizieren in ihrer Hauptstadt stattfanden. Das Hauptthema dieser Treffen drehte sich um ein fiktionales Szenario der Kriegserklärung und einer Invasion durch unser Militär. Es wurden mögliche Gegenangriffe und sogar Guerillakämpfe diskutiert. Scheinbar bereitet sich die $TAG_0_0_ADJ$e Armee auf das Schlimmste vor. Sie scheinen Angst vor uns zu haben!;;;;;;;;x;;;
AI_FEARS_US_DESC1_MEDIUM;Uma fonte não identificada em $TAG_0_0$ relata que o governo está se preparando para o pior. Um cenário fictício envolvendo uma declaração de guerra do nosso país contra eles é considerado possível, e altos oficiais militares consideram nosso poder militar assustador!;;Eine anonyme Quelle in $TAG_0_0$ meldet, dass sich die dortige Regierung auf das Schlimmste vorbereitet. Ein fiktionales Szenario einer Kriegserklärung durch unser Land wird für möglich gehalten, und ihre hochrangigen Militäroffiziere fürchten unsere militärische Stärke!;;;;;;;;x;;;
AI_FEARS_US_DESC1_SHORT;Os relatórios estão chegando de uma fonte não identificada em $TAG_0_0$ de uma série de reuniões militares em sua capital. Parece que eles consideram uma invasão de nossas tropas uma possibilidade séria!;;Eine anonyme Quelle in $TAG_0_0$ berichtet von einer Reihe von militärischen Treffen in ihrer Hauptstadt. Wie es scheint, halten sie eine Invasion durch unsere Truppen durchaus für möglich!;;;;;;;;x;;;
AI_FEARS_US_TITLE2;$TAG_0_0$, estamos chegando!;;$TAG_0_0$ fürchtet unseren Einmarsch!;;;;;;;;x;;;
AI_FEARS_US_DESC2_LONG;Um artigo recente em um jornal $TAG_0_0_ADJ$ surpreendeu sua nação! Uma análise detalhada das relações geladas entre nossos países e uma comparação de nossas forças militares levaram o editor a concluir que nossos países poderiam em breve estar em guerra. Se esse dia chegar, a existência do(a) $TAG_0_0$'s seria ameaçada. Todos os cidadãos do(a) $TAG_0_0$ tanto nobres quanto pebleus, estão pedindo ao seu governo que forme uma aliança com uma Grande Potência para conter a ameaça que enfrentam.;;Ein kürzlicher Beitrag in der $TAG_0_0_ADJ$en Zeitung brachte ihre Nation in Aufruhr! Eine ausführliche Analyse der frostigen Beziehungen zwischen unseren Ländern mit einem Vergleich unserer militärischen Stärken brachte den Herausgeber zu dem Schluss, dass unsere Länder sich bald im Kriegszustand befinden könnten. Sollte dieser Tag kommen, wäre die Existenz $TAG_0_0$s angeblich gefährdet. Alle Bürger von $TAG_0_0$, Adel wie auch Bürgerliche, fordern ihre Regierung auf, ein Bündnis mit einer Großmacht einzugehen, um die Bedrohung, die wir darstellen, einzudämmen.;;;;;;;;x;;;
AI_FEARS_US_DESC2_MEDIUM;Um artigo recente em um jornal $TAG_0_0_ADJ$ surpreendeu sua nação! Uma análise detalhada das relações frias entre os nossos países levou o editor à conclusão de que, na falta de novas garantias, os nossos países poderão em breve encontrar-se num estado de guerra.;;Ein kürzlicher Beitrag in der $TAG_0_0_ADJ$en Zeitung brachte ihre Nation in Aufruhr! Eine ausführliche Analyse der frostigen Beziehungen zwischen unseren Ländern brachte den Herausgeber zu dem Schluss, dass unsere Länder sich bald im Kriegszustand befinden könnten.;;;;;;;;x;;;
AI_FEARS_US_DESC2_SHORT;Um artigo recente em um jornal $TAG_0_0_ADJ$ surpreendeu sua nação! A análise das relações frias entre nossos países levou o editor à conclusão de que a guerra poderia ser inevitável.;;Ein Beitrag in der $TAG_0_0_ADJ$en Zeitung brachte die Nation ihre Aufruhr! Die Analyse frostiger Beziehungen zw. unseren Ländern brachte sie zu dem Schluss, dass ein Krieg unausweichlich sei.;;;;;;;;x;;;
AI_FEARS_US_TITLE3;Insultos $TAG_0_0_ADJ$!;;$TAG_0_0_ADJ$e Beleidigungen!;;;;;;;;x;;;
AI_FEARS_US_DESC3_LONG;Preconceito e ódio reinam em $TAG_0_0$. O crescente coro de insultos alcançou novos mínimos na segunda-feira, quando o ministro das Relações Exteriores da $TAG_0_0_ADJ$ deu um tapa no nosso embaixador no gramado de nossa embaixada em $TAG_0_0$. Quando perguntado sobre o assunto, nosso ministro das Relações Exteriores disse que isso era 'mais uma prova, como se fosse necessário, de que não se pode confiar que eles se comportarão de maneira civilizada. Selvagens gorvernam em $TAG_0_0$, e quanto mais cedo esses desgraçados estiverem erradicados, melhor'. Canais diplomáticos permanecem abertos por enquanto, mas a guerra pode ser inevitável.;;Vorurteile und Hass herrschen in $TAG_0_0$. Die Beleidigungen fanden am Montag einen neuen Tiefpunkt, als der $TAG_0_0_ADJ$e Außenminister unseren Botschafter auf dem Rasen unserer Botschaft in $TAG_0_0$ ohrfeigte. Auf Anfrage sagte unser Außenminister, dass dies 'weitere Beweise sind, falls wir noch welche brauchten, dass man von ihnen kein zivilisiertes Verhalten erwarten kann. Wilde und Proleten herrschen in $TAG_0_0$ und je eher wir sie ausmerzen, desto besser.' Diplomatische Kontakte werden weiterhin aufrechterhalten, doch Krieg scheint unvermeidbar.;;;;;;;;x;;;
AI_FEARS_US_DESC3_MEDIUM;"Preconceito e ódio reinam em $TAG_0_0$. Na segunda-feira, o ministro das Relações Exteriores do(a) $TAG_0_0_ADJ$ deu um tapa em nosso embaixador. Nosso ministro das Relações Exteriores disse que ""selvagens e burros governam em $TAG_0_0$, e quanto mais cedo esses infelizes forem extirpados, melhor"".";;Vorurteile und Hass herrschen in $TAG_0_0$ vor. Am Montag gab der $TAG_0_0_ADJ$e Außenminister unserem Botschafter eine Ohrfeige. Unser Außenminister sagt, dass 'Wilde und Proleten in $TAG_0_0$ regieren, je eher wir sie ausmerzen, desto besser.';;;;;;;;x;;;
AI_FEARS_US_DESC3_SHORT;Na segunda-feira, o ministro das Relações Exteriores do(a) $TAG_0_0_ADJ$ deu um tapa em nosso embaixador. Selvagens e burros governam em $TAG_0_0$, e quanto mais cedo esses infelizes forem extirpados, melhor.;;Am Montag gab der $TAG_0_0_ADJ$e Außenminister unserem Botschafter eine Ohrfeige. Wilde und Schurken regieren in $TAG_0_0$ und je eher wir sie ausmerzen, desto besser.;;;;;;;;x;;;
AI_FEARS_OTHER_TITLE1;Os medos do(a) $TAG_0_0$;;Angst in $TAG_0_0$;;;;;;;;x;;;
AI_FEARS_OTHER_DESC1_LONG;Um artigo recente em um jornal do(a) $TAG_0_0_ADJ$ surpreendeu sua nação! Uma análise detalhada de suas relações frias com o $TAG_0_1$ e uma comparação de suas forças militares relativas levou o editor à conclusão de que ambos os países poderiam em breve encontrar-se em estado de guerra, e quando esse dia chegar, a existência do(a) $TAG_0_0$'s estaria ameaçada. Tanto a elite quanto os cidadãos comuns do(a) $TAG_0_0$ exigem que seu governo busque alianças para diminuir a ameaça inevitável que os $TAG_0_1_ADJ$ representam.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ und ein Vergleich der militärischen Stärken brachte den Herausgeber zu dem Schluss, dass beide Länder sich bald im Kriegszustand befinden könnten. Sollte dieser Tag kommen, wäre die Existenz $TAG_0_0$s gefährdet. Alle Bürger von $TAG_0_0$, Adel wie auch Bürgerliche, fordern ihre Regierung auf, Bündnisse einzugehen, um die $TAG_0_1_ADJ$e Bedrohung einzudämmen.;;;;;;;;x;;;
AI_FEARS_OTHER_DESC1_MEDIUM;Um artigo recente em um jornal do(a) $TAG_0_0_ADJ$  surpreendeu sua nação! Uma análise detalhada de suas relações frias com o $TAG_0_1$  uma comparação de suas forças militares relativas levou o editor à conclusão de que ambos os países poderiam em breve encontrar-se em estado de guerra.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ brachte den Herausgeber zu dem Schluss, dass beide Länder sich bald im Kriegszustand befinden könnten.;;;;;;;;x;;;
AI_FEARS_OTHER_DESC1_SHORT;Um artigo recente em um jornal do(a)  $TAG_0_0_ADJ$ surpreendeu sua nação! A análise de suas relações frias com o $TAG_0_1$ levou à conclusão de que a guerra poderia ser inevitável.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;
AI_FEARS_OTHER_TITLE2;Os medo $TAG_0_0_ADJ$ ;;Die $TAG_0_0_ADJ$e Angst;;;;;;;;x;;;
AI_FEARS_OTHER_DESC2_LONG;De acordo com relatos da liderança do governo $TAG_0_0_ADJ$há um clima de preocupação e ansiedade nos círculos governamentais. Muitos temem que as rivalidades com $TAG_0_1$ possam desencadear um conflito internacional com o $TAG_0_0$ que pode muito bem ser perdido. Os rumores sugerem que a possibilidade de guerra está à porta e os preparativos estão sendo feitos. O medo também se espalha entre a população, que espera o pior: uma derrota cruel.;;Laut Meldungen aus dem Führungszirkel der $TAG_0_0_ADJ$en Regierung, überwiegt in Regierungskreisen eine Stimmung der Sorge und Angst. Viele befürchten, dass die Rivalitäten mit $TAG_0_1$ einen internationalen Konflikt auslösen könnten, den $TAG_0_0$ sehr wohl verlieren könnte. Gerüchten zufolge wird die Möglichkeit des Krieges vor ihrer Tür erwogen und es werden entsprechende Vorbereitungen getroffen. Angst breitet sich auch in der Bevölkerung aus, die mit dem Schlimmsten rechnet: einer grausamen Niederlage.;;;;;;;;x;;;
AI_FEARS_OTHER_DESC2_MEDIUM;O humor dos oficiais $TAG_0_0_ADJ$ é de apreensão assustadora quando se trata das ações do(a) $TAG_0_1$. Estando sempre atentos às suas ações, muitos temem que uma eventual guerra entre os dois países resulte em uma derrota cruel para o $TAG_0_0$.;;Die Stimmung unter $TAG_0_0_ADJ$en Offiziellen ist angesichts der Aktionen von $TAG_0_1$ von Angst und Sorge geprägt. Viele befürchten einen möglichen Krieg zwischen beiden Ländern, der mit der grausamen Niederlage von $TAG_0_0$ enden könnte.;;;;;;;;x;;;
AI_FEARS_OTHER_DESC2_SHORT;Através dos relatórios da imprensa local, parece que a população e o governo $TAG_0_0_ADJ$estão sofrendo de um medo generalizado do poder militar do(a) $TAG_0_1$'s. Mais na página 4.;;Lokale Pressestimmen melden die weitverbreitete Angst der $TAG_0_0_ADJ$en Bevölkerung und Regierung vor der militärischen Stärke von $TAG_0_1$. Mehr dazu auf Seite 4.;;;;;;;;x;;;
AI_LOVES_US_TITLE1;$TAG_0_0$: Nosso melhor amigo;;$TAG_0_0$: Unser bester Freund;;;;;;;;x;;;
AI_LOVES_US_DESC1_LONG;Alguma vez você já considerou seus companheiros $TAG_0_0_ADJ$ como seus melhores amigos? Possivelmente. No entanto, certamente parece que eles nos consideram um alvo, não para lutar contra, mas para fazer amizade! Uma série de diplomatas e embaixadores buscam apoio a uma aliança entre nossas duas grandes nações, se a guerra começar. 'Não é de admirar que tenhamos de nos apoiar uns aos outros nestes tempos conturbados. Quando todos à sua volta estão na garganta um do outro, um amigo em necessidade é um amigo de verdade! disse um diplomata em uma entrevista.;;Sehen Sie $TAG_0_0_ADJ$e Bürger als Ihre besten Freunde an? Vielleicht. Scheinbar sehen diese uns jedoch als Ziel, doch nicht als Kriegsziel, sondern als Verbündete! Diplomaten und Abgesandte beschwören in unserer Hauptstadt ein Bündnis unserer beiden Großmächte herauf, falls ein Krieg ausbrechen sollte. 'In diesen schweren Zeiten ist es unsere Pflicht, uns gegenseitig zu unterstützen. Wenn sich alle um einen herum gegenseitig an die Kehle wollen, sind Freunde unerlässlich.' sagte ein Diplomat in einem Interview.;;;;;;;;x;;;
AI_LOVES_US_DESC1_MEDIUM;Diplomatas $TAG_0_0_ADJ$ em nossa capital são sinceros em seu apoio a uma aliança entre nossas duas grandes nações. De acordo com fontes governamentais, as relações entre nós e eles estão em um momento alto e podem até levar a uma promessa mútua de apoio militar em breve.;;$TAG_0_0_ADJ$e Diplomaten betonen in unserer Hauptstadt ihren Wunsch eines Bündnisses unserer beiden Größmächte. Regierungskreise bezeichnen die Beziehungen als hervorragend, was bald zu einer gegenseitigen Verpflichtung zur militärischen Unterstützung führen könnte.;;;;;;;;x;;;
AI_LOVES_US_DESC1_SHORT;As relações entre o governo $TAG_0_0_ADJ$ e o nosso nunca foram melhores. Os analistas políticos dizem que nos consideram como um potencial aliado e amigo da paz e da guerra;;Die Beziehungen zwischen der $TAG_0_0_ADJ$ Regierung und uns könnten besser nicht sein. Laut politischen Analysten sehen sie uns als möglichen Verbündeten und Freund im Krieg und Frieden.;;;;;;;;x;;;
AI_LOVES_US_TITLE2;$TAG_0_0$ está do nosso lado!;;$TAG_0_0$ steht an unserer Seite!;;;;;;;;x;;;
AI_LOVES_US_DESC2_LONG;Um artigo em um jornal $TAG_0_0_ADJ$ pinta uma imagem de relações amigáveis entre nossos países. Recorrendo a numerosos exemplos de cooperação pacífica baseada na confiança e amizade, o editor declarou que ambas as nações se mantinham como amigos e irmãos. Usando palavras como 'confiável', 'instável' e 'firme' para descrever nossas relações, o jornal incentivou o governo do(a) $TAG_0_0$ a continuar alinhando-se com nossas políticas para buscar interesses e metas comuns e fortalecer as garantias e garantias mútuas.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen zwischen unseren Ländern. Unter Aufzählung mehrerer Beispiele friedlicher, auf Vertrauen und Freundschaft basierender Kooperation, sieht der Herausgeber uns als Freunde und Brüder. Mit Worten wie 'vertrauenswürdig', 'zuverlässig' und 'standhaft' umschreibt die Zeitung unsere Beziehungen und ruft die Regierung von $TAG_0_0$ dazu auf, diese weiter auszubauen, um gemeinsame Interessen und Ziele zu verfolgen und den gegenseitigen Rückhalt zu stärken.;;;;;;;;x;;;
AI_LOVES_US_DESC2_MEDIUM;Um artigo em um jornal $TAG_0_0_ADJ$ pinta uma imagem de relações amigáveis entre nossos países. Recorrendo a numerosos exemplos de cooperação pacífica baseada na confiança e amizade, o editor declarou que ambas as nações se mantinham como amigos e irmãos.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen zwischen unseren Ländern. Unter Aufzählung mehrerer Beispiele friedlicher, auf Vertrauen und Freundschaft basierender Kooperation, sieht der Herausgeber uns als Freunde und Brüder.;;;;;;;;x;;;
AI_LOVES_US_DESC2_SHORT;Um artigo em um jornal $TAG_0_0_ADJ$  pinta uma imagem de relações amigáveis entre nossas nações. O Editor incentivou seu governo a continuar alinhando-se com as nossas políticas.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen zwischen unseren Ländern. Herausgeber ruft ihre Regierung dazu auf, diese weiter auszubauen.;;;;;;;;x;;;
AI_LOVES_US_TITLE3;$TAG_0_0$ conhece o seu lugar!;;$TAG_0_0$ nicht übermütig!;;;;;;;;x;;;
AI_LOVES_US_DESC3_LONG;"O senso comum é a ordem do dia no(a) $TAG_0_0$, pois o governo e as pessoas continuam apaixonadas por todas as coisas $OURCOUNTRY_ADJ$. Nas esferas política, militar e cultural, nossa superioridade obviamente aparente é prontamente reconhecida pelos infelizes mendigos. O ministro das Relações Exteriores $TAG_0_0_ADJ$ em uma tentativa vergonhosa de agradar as nossas elites, disse: ""Congratulamo-nos com a mão paterna e orientadora $OURCOUNTRY_ADJ$. Por muito tempo a amizade de nossos países continuará, para nosso benefício mútuo "". Se esse será o caso, ainda não se sabe.";;"Gesunder Menschenverstand herrscht in $TAG_0_0$, wo Regierung und Bevölkerung alles $OURCOUNTRY_ADJ$e hoch schätzen. Diese wehleidigen Schufte erkennen nur allzu gerne unsere offensichtliche Überlegenheit in allen politischen, militärischen und kulturellen Belangen an. Auf schamlose Weise biedert sich der $TAG_0_0_ADJ$e Außenminister unseren Eliten an und sagt ""Wir begrüßen die väterliche und wegweisende $OURCOUNTRY_ADJ$e Hand. Möge die Freundschaft unserer Länder ewig zum gegenseitigen Vorteil währen."" Es bleibt abzuwarten, ob dies der Fall sein wird.";;;;;;;;;;;
AI_LOVES_US_DESC3_MEDIUM;O senso comum é a ordem do dia na capital $TAG_0_0_ADJ$ pois o governo e as pessoas continuam apaixonadas por todas as coisas $OURCOUNTRY_ADJ$. Nas esferas política, militar e cultural, nossa óbvia superioridade é reconhecida pelos infelizes.;;Gesunder Menschenverstand herrscht in der $TAG_0_0_ADJ$en Hauptstadt, wo Regierung und Bevölkerung alles $OURCOUNTRY_ADJ$e hoch schätzen. Diese Schufte erkennen nur allzu gern unsere offensichtliche Überlegenheit in allen politischen, militärischen und kulturellen Belangen an.;;;;;;;;x;;;
AI_LOVES_US_DESC3_SHORT;O governo $TAG_0_0_ADJ$ e as pessoas continuam apaixonadas pelo(a) $OURCOUNTRY$. Em todas as esferas, nossa óbvia superioridade é prontamente reconhecida.;;$TAG_0_0_ADJ$e Regierung und Bevölkerung schätzen weiterhin alles $OURCOUNTRY_ADJ$e sehr. Nur allzu gern erkennen sie unsere offensichtliche Überlegenheit in allen Belangen an.;;;;;;;;x;;;
AI_LOVES_OTHER_TITLE1;$TAG_0_0$'s relations;;$TAG_0_0$s Beziehungen;;;;;;;;x;;;
AI_LOVES_OTHER_DESC1_LONG;Um artigo em um jornal $TAG_0_0_ADJ$ pinta uma imagem de suas amáveis relações com o $TAG_0_1$. Recorrendo a numerosos exemplos de cooperação pacífica baseada na confiança e amizade, o editor declarou ambas as nações como amigos e irmãos. Usando palavras como 'firme' e 'confiável' para descrever suas relações, o jornal encorajou o governo do(a) $TAG_0_0$ a continuar alinhando-se com as políticas do(a) $TAG_0_1$ para buscar interesses comuns e fortalecer as garantias mútuas.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen mit $TAG_0_1$. Unter Aufzählung mehrerer Beispiele friedlicher, auf Vertrauen und Freundschaft basierender Kooperation, sieht der Herausgeber beide Nationen als Freunde und Brüder. Mit Worten wie 'vertrauenswürdig', 'zuverlässig' und 'standhaft' umschreibt die Zeitung die Beziehungen und ruft die Regierung von $TAG_0_0$ dazu auf, diese weiter mit $TAG_0_1$ auszubauen, um gemeinsame Interessen zu verfolgen und den gegenseitigen Rückhalt zu stärken.;;;;;;;;x;;;
AI_LOVES_OTHER_DESC1_MEDIUM;Um artigo em um jornal $TAG_0_0_ADJ$ mostra uma foto de suas relações amistosas com o $TAG_0_1$. Recorrendo a numerosos exemplos de cooperação pacífica baseada na confiança e amizade, o editor declarou ambas as nações como amigos e irmãos.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen mit $TAG_0_1$. Unter Aufzählung mehrerer Beispiele friedlicher Kooperation, sieht der Herausgeber beide Nationen als Freunde und Brüder.;;;;;;;;x;;;
AI_LOVES_OTHER_DESC1_SHORT;Um artigo em um jornal $TAG_0_0_ADJ$ mostra uma foto de suas excelentes relações com o $TAG_0_1$. O editor pediu que a ligação com o $TAG_0_1$ fosse mantida.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der guten Beziehungen mit $TAG_0_1$. Der Herausgeber empfiehlt, den Bund mit $TAG_0_1$ aufrecht zu erhalten.;;;;;;;;x;;;
AI_LOVES_OTHER_TITLE2;Relações $TAG_0_0_ADJ$-$TAG_0_1_ADJ$;;$TAG_0_0_ADJ$-$TAG_0_1_ADJ$e Beziehungen;;;;;;;;x;;;
AI_LOVES_OTHER_DESC2_LONG;Embora a história possa ter colocado nossos dois países em desacordo algumas vezes, é claro que o próprio destino decidiu nos unir!', disse ontem o porta-voz do governo $TAG_0_0_ADJ$ na capital do país, referindo-se ao recente aumento da cooperação com o $TAG_0_1$. A abolição de alguns direitos alfandegários entre as duas terras no ano passado e as freqüentes visitas de embaixadores do(a) $TAG_0_0$ parecem mostrar que uma garantia de amizade por meio de uma aliança militar é de fato uma possibilidade sólida.;;Mit Referenz auf die wachsende Kooperation mit $TAG_0_1$ sagte der Sprecher der $TAG_0_0_ADJ$en Regierung gestern in ihrer Hauptstadt, dass 'es klar ist, dass das Schicksal uns zusammengeführt hat, auch wenn es in der Geschichte beider Länder manchmal zu Streitigkeiten gekommen ist!'. Die Abschaffung einiger Zoll-Verpflichtungen zwischen beiden Ländern im vergangenen Jahr und die zahlreichen Besuche des Botschafters von $TAG_0_0$ deuten an, dass eine Freundschaft im Rahmen eines militärischen Bündnisses durchaus möglich ist.;;;;;;;;x;;;
AI_LOVES_OTHER_DESC2_MEDIUM;Sorridentes diplomatas $TAG_0_0_ADJ$ foram vistos ontem em uma cúpula na capital $TAG_0_1_ADJ$. O '$TAG_0_1$ é nosso aliado natural', mencionou um oficial $TAG_0_0_ADJ$. Analistas políticos prevêem que um pacto de aliança possa ser assinado em breve.;;Lächelnde $TAG_0_0_ADJ$e Diplomaten wurden gestern auf einem Gipfeltreffen in der $TAG_0_1_ADJ$en Hauptstadt gesichtet. '$TAG_0_1$ ist unser natürlicher Verbündeter', sagte ein $TAG_0_0_ADJ$er Offizieller. Politische Analysten sehen die Unterzeichnung eines Bündnisabkommens voraus.;;;;;;;;x;;;
AI_LOVES_OTHER_DESC2_SHORT;Prosperidade para o futuro com nossos irmãos $TAG_0_1_ADJ$!' é o mais novo slogan do partido governante $TAG_0_0_ADJ$. Muitos dizem que isso é uma indicação de uma futura aliança militar.;;Die neueste Devise der führenden $TAG_0_0_ADJ$en Partei lautet: 'Wohlstand für die Zukunft mit unseren $TAG_0_1_ADJ$en Brüdern!'. Viele sehen Anzeichen eines zukünftigen Militär-Bündnisses.;;;;;;;;x;;;
OTHER_NEW_GP_TITLE1;A ascensão do(a) $TAG_0_1$;;Der Aufstieg von $TAG_0_1$;;;;;;;;x;;;
